,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,New York Giants,10,3,1,.769,368,220,148,10.6,-3.1,7.5,3.4,4.1
1,Philadelphia Eagles,10,4,0,.714,361,297,64,4.6,-2.6,1.9,3.8,-1.8
2,Cleveland Browns,8,5,1,.615,319,270,49,3.5,-1.9,1.6,0.4,1.2
3,St. Louis Cardinals,7,7,0,.500,279,267,12,0.9,-2.4,-1.5,-2.6,1.1
4,Pittsburgh Steelers,6,8,0,.429,295,287,8,0.6,-2.3,-1.7,-1.5,-0.3
5,Dallas Cowboys,4,9,1,.308,236,380,-144,-10.3,-2.1,-12.4,-5.9,-6.4
6,Washington Redskins,1,12,1,.077,174,392,-218,-15.6,-0.1,-15.7,-9.2,-6.5
7,Green Bay Packers,11,3,0,.786,391,223,168,12.0,1.6,13.6,7.1,6.5
8,Detroit Lions,8,5,1,.615,270,258,12,0.9,2.5,3.3,-1.8,5.1
9,Chicago Bears,8,6,0,.571,326,302,24,1.7,2.5,4.3,2.8,1.5
10,Baltimore Colts,8,6,0,.571,302,307,-5,-0.4,1.5,1.1,0.9,0.3
11,San Francisco 49ers,7,6,1,.538,346,272,74,5.3,0.8,6.1,3.6,2.5
12,Los Angeles Rams,4,10,0,.286,263,333,-70,-5.0,3.5,-1.5,-1.2,-0.3
13,Minnesota Vikings,3,11,0,.214,285,407,-122,-8.7,2.1,-6.6,0.1,-6.8
