,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Dallas Cowboys,11,2,1,.846,369,223,146,10.4,-3.5,6.9,2.5,4.4
1,Washington Redskins,7,5,2,.583,307,319,-12,-0.9,-2.1,-3.0,-1.0,-2.0
2,New Orleans Saints,5,9,0,.357,311,393,-82,-5.9,-1.5,-7.3,0.1,-7.4
3,Philadelphia Eagles,4,9,1,.308,279,377,-98,-7.0,-1.3,-8.3,-2.4,-5.9
4,Cleveland Browns,10,3,1,.769,351,300,51,3.6,-2.8,0.9,2.6,-1.7
5,New York Giants,6,8,0,.429,264,298,-34,-2.4,-2.0,-4.5,-3.8,-0.7
6,St. Louis Cardinals,4,9,1,.308,314,389,-75,-5.4,-1.7,-7.0,0.8,-7.8
7,Pittsburgh Steelers,1,13,0,.071,218,404,-186,-13.3,-0.7,-14.0,-6.0,-7.9
8,Los Angeles Rams,11,3,0,.786,320,243,77,5.5,1.6,7.1,3.2,3.9
9,Baltimore Colts,8,5,1,.615,279,268,11,0.8,2.2,3.0,0.5,2.5
10,Atlanta Falcons,6,8,0,.429,276,268,8,0.6,2.3,2.8,0.3,2.5
11,San Francisco 49ers,4,8,2,.333,277,319,-42,-3.0,2.7,-0.3,0.9,-1.2
12,Minnesota Vikings,12,2,0,.857,379,133,246,17.6,0.0,17.6,6.9,10.6
13,Detroit Lions,9,4,1,.692,259,188,71,5.1,1.6,6.6,-1.2,7.9
14,Green Bay Packers,8,6,0,.571,269,221,48,3.4,1.8,5.2,-0.2,5.4
15,Chicago Bears,1,13,0,.071,210,339,-129,-9.2,3.4,-5.9,-3.2,-2.6
