,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,New York Giants,9,3,0,.750,180,96,84,7.0,-3.1,3.9,2.9,1.0
1,Brooklyn Dodgers,5,6,1,.455,90,141,-51,-4.3,-1.6,-5.9,-4.6,-1.3
2,Pittsburgh Pirates,4,8,0,.333,100,209,-109,-9.1,-0.8,-9.9,-2.2,-7.7
3,Boston Redskins,2,8,1,.200,65,123,-58,-5.3,-0.8,-6.1,-6.1,0.0
4,Philadelphia Eagles,2,9,0,.182,60,179,-119,-10.8,-0.2,-11.0,-5.8,-5.3
5,Detroit Lions,7,3,2,.700,191,111,80,6.7,1.1,7.8,6.7,1.1
6,Green Bay Packers,8,4,0,.667,181,96,85,7.1,1.8,8.8,4.4,4.4
7,Chicago Bears,6,4,2,.600,192,106,86,7.2,1.1,8.3,5.8,2.5
8,Chicago Cardinals,6,4,2,.600,99,97,2,0.2,2.5,2.7,-2.0,4.7
