,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,New York Giants,10,5,1,.656,307,265,42,2.6,-1.1,1.5,-1.8,3.3
1,Washington Redskins,8,7,1,.531,327,289,38,2.4,-1.1,1.3,-0.6,1.8
2,Philadelphia Eagles,6,9,1,.406,317,372,-55,-3.4,0.5,-3.0,-0.7,-2.3
3,Dallas Cowboys,6,10,0,.375,304,314,-10,-0.6,-0.1,-0.8,-1.7,1.0
4,Arizona Cardinals,4,12,0,.250,283,379,-96,-6.0,-0.4,-6.4,-2.6,-3.8
5,Green Bay Packers,13,3,0,.813,422,282,140,8.8,-1.1,7.7,5.3,2.4
6,Tampa Bay Buccaneers,10,6,0,.625,299,263,36,2.3,0.5,2.7,-2.4,5.1
7,Detroit Lions,9,7,0,.563,379,306,73,4.6,-0.6,4.0,3.0,0.9
8,Minnesota Vikings,9,7,0,.563,354,359,-5,-0.3,0.2,-0.1,1.7,-1.8
9,Chicago Bears,4,12,0,.250,263,421,-158,-9.9,1.4,-8.5,-3.1,-5.3
10,San Francisco 49ers,13,3,0,.813,375,265,110,6.9,-1.8,5.1,2.4,2.7
11,Carolina Panthers,7,9,0,.438,265,314,-49,-3.1,-0.5,-3.6,-4.4,0.8
12,Atlanta Falcons,7,9,0,.438,320,361,-41,-2.6,-1.6,-4.2,-1.2,-2.9
13,New Orleans Saints,6,10,0,.375,237,327,-90,-5.6,-1.8,-7.4,-6.8,-0.6
14,St. Louis Rams,5,11,0,.313,299,359,-60,-3.8,-0.2,-4.0,-1.8,-2.2
15,New England Patriots,10,6,0,.625,369,289,80,5.0,0.3,5.3,2.3,3.0
16,Miami Dolphins,9,7,0,.563,339,327,12,0.8,0.6,1.3,1.0,0.3
17,New York Jets,9,7,0,.563,348,287,61,3.8,-0.9,2.9,0.1,2.8
18,Buffalo Bills,6,10,0,.375,255,367,-112,-7.0,2.5,-4.5,-4.0,-0.5
19,Indianapolis Colts,3,13,0,.188,313,401,-88,-5.5,1.2,-4.3,-0.6,-3.8
20,Pittsburgh Steelers,11,5,0,.688,372,307,65,4.1,1.3,5.3,2.7,2.6
21,Jacksonville Jaguars,11,5,0,.688,394,318,76,4.8,0.7,5.5,4.4,1.0
22,Tennessee Oilers,8,8,0,.500,333,310,23,1.4,0.2,1.7,-0.3,1.9
23,Cincinnati Bengals,7,9,0,.438,355,405,-50,-3.1,1.0,-2.2,1.8,-4.0
24,Baltimore Ravens,6,9,1,.406,326,345,-19,-1.2,0.6,-0.6,-0.4,-0.2
25,Kansas City Chiefs,13,3,0,.813,375,232,143,8.9,-0.5,8.4,1.8,6.6
26,Denver Broncos,12,4,0,.750,472,287,185,11.6,-0.9,10.7,8.1,2.6
27,Seattle Seahawks,8,8,0,.500,365,362,3,0.2,0.0,0.1,1.8,-1.7
28,Oakland Raiders,4,12,0,.250,324,419,-95,-5.9,0.8,-5.1,-0.1,-5.0
29,San Diego Chargers,4,12,0,.250,266,425,-159,-9.9,1.0,-8.9,-4.1,-4.8
