,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Dallas Cowboys,13,3,.813,409,243,166,10.4,-0.4,10.0,6.4,3.6
1,Philadelphia Eagles,11,5,.688,354,245,109,6.8,2.1,8.9,4.8,4.1
2,Washington Redskins,9,7,.563,300,255,45,2.8,1.6,4.4,0.7,3.8
3,New York Giants,6,10,.375,306,367,-61,-3.8,2.0,-1.8,1.6,-3.4
4,Phoenix Cardinals,4,12,.250,243,332,-89,-5.6,2.5,-3.1,-2.9,-0.1
5,Minnesota Vikings,11,5,.688,374,249,125,7.8,-0.1,7.7,4.4,3.3
6,Green Bay Packers,9,7,.563,276,296,-20,-1.3,-0.3,-1.6,-2.6,1.0
7,Tampa Bay Buccaneers,5,11,.313,267,365,-98,-6.1,0.3,-5.9,-2.0,-3.9
8,Chicago Bears,5,11,.313,295,361,-66,-4.1,0.6,-3.5,-0.2,-3.3
9,Detroit Lions,5,11,.313,273,332,-59,-3.7,1.8,-1.9,-0.7,-1.1
10,San Francisco 49ers,14,2,.875,431,236,195,12.2,-0.4,11.8,7.3,4.5
11,New Orleans Saints,12,4,.750,330,202,128,8.0,-0.2,7.8,0.7,7.1
12,Atlanta Falcons,6,10,.375,327,414,-87,-5.4,1.4,-4.1,2.3,-6.4
13,Los Angeles Rams,6,10,.375,313,383,-70,-4.4,1.5,-2.9,1.1,-4.0
14,Miami Dolphins,11,5,.688,340,281,59,3.7,-2.2,1.5,2.1,-0.6
15,Buffalo Bills,11,5,.688,381,283,98,6.1,-1.9,4.3,4.7,-0.4
16,Indianapolis Colts,9,7,.563,216,302,-86,-5.4,-1.6,-7.0,-6.0,-1.0
17,New York Jets,4,12,.250,220,315,-95,-5.9,-0.9,-6.9,-6.0,-0.9
18,New England Patriots,2,14,.125,205,363,-158,-9.9,-1.1,-11.0,-6.5,-4.5
19,Pittsburgh Steelers,11,5,.688,299,225,74,4.6,-1.0,3.6,-0.4,4.0
20,Houston Oilers,10,6,.625,352,258,94,5.9,-0.3,5.5,3.0,2.6
21,Cleveland Browns,7,9,.438,272,275,-3,-0.2,-0.8,-1.0,-2.0,1.0
22,Cincinnati Bengals,5,11,.313,274,364,-90,-5.6,-1.0,-6.6,-0.9,-5.7
23,San Diego Chargers,11,5,.688,335,241,94,5.9,-2.8,3.1,1.9,1.3
24,Kansas City Chiefs,10,6,.625,348,282,66,4.1,-0.7,3.4,3.7,-0.2
25,Denver Broncos,8,8,.500,262,329,-67,-4.2,0.8,-3.4,-1.4,-1.9
26,Los Angeles Raiders,7,9,.438,249,281,-32,-2.0,0.4,-1.6,-3.2,1.5
27,Seattle Seahawks,2,14,.125,140,312,-172,-10.8,0.8,-10.0,-9.8,-0.2
