,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Cleveland Bulldogs,7.0,1.0,1.0,0.875,229.0,60.0,169.0,18.8,-7.3,11.4,10.3,1.1
1,Chicago Bears,6.0,1.0,4.0,0.857,136.0,55.0,81.0,7.4,0.1,7.5,2.7,4.8
2,Frankford Yellow Jackets,11.0,2.0,1.0,0.846,326.0,109.0,217.0,15.5,-8.4,7.1,7.7,-0.6
3,Duluth Kelleys,5.0,1.0,0.0,0.833,56.0,16.0,40.0,6.7,2.1,8.8,0.5,8.3
4,Rock Island Independents,5.0,2.0,2.0,0.714,88.0,38.0,50.0,5.6,0.2,5.7,1.2,4.5
5,Green Bay Packers,7.0,4.0,0.0,0.636,108.0,38.0,70.0,6.4,2.8,9.2,2.0,7.2
6,Racine Legion,4.0,3.0,3.0,0.571,69.0,47.0,22.0,2.2,5.8,8.0,0.8,7.2
7,Chicago Cardinals,5.0,4.0,1.0,0.556,90.0,67.0,23.0,2.3,-6.4,-4.1,-4.1,0.0
8,Buffalo Bisons,6.0,5.0,0.0,0.545,120.0,140.0,-20.0,-1.8,-10.6,-12.4,-6.1,-6.4
9,Columbus Tigers,4.0,4.0,0.0,0.5,91.0,68.0,23.0,2.9,-0.8,2.1,-0.6,2.7
10,Hammond Pros,2.0,2.0,1.0,0.5,18.0,45.0,-27.0,-5.4,7.8,2.4,-1.9,4.3
11,Milwaukee Badgers,5.0,8.0,0.0,0.385,142.0,188.0,-46.0,-3.5,2.5,-1.1,2.0,-3.0
12,Dayton Triangles,2.0,6.0,0.0,0.25,45.0,148.0,-103.0,-12.9,5.2,-7.7,-3.1,-4.6
13,Akron Pros,2.0,6.0,0.0,0.25,59.0,132.0,-73.0,-9.1,2.4,-6.8,-3.1,-3.7
14,Kansas City Blues,2.0,7.0,0.0,0.222,46.0,124.0,-78.0,-8.7,6.0,-2.6,-1.6,-1.0
15,Kenosha Maroons,0.0,4.0,1.0,0.0,12.0,117.0,-105.0,-21.0,6.5,-14.5,-4.6,-9.9
16,Minneapolis Marines,0.0,6.0,0.0,0.0,14.0,108.0,-94.0,-15.7,7.9,-7.8,-3.1,-4.7
17,Rochester Jeffersons,0.0,7.0,0.0,0.0,7.0,156.0,-149.0,-21.3,0.1,-21.2,-10.2,-11.0
