,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Dallas Cowboys,11,3,0,.786,296,194,102,7.3,-2.8,4.5,0.5,4.0
1,Washington Redskins,10,4,0,.714,291,217,74,5.3,-2.3,3.0,1.2,1.8
2,St. Louis Cardinals,10,4,0,.714,309,267,42,3.0,-0.4,2.6,3.5,-1.0
3,Philadelphia Eagles,4,10,0,.286,165,286,-121,-8.6,0.0,-8.7,-7.3,-1.4
4,New York Giants,3,11,0,.214,170,250,-80,-5.7,2.3,-3.4,-5.5,2.1
5,Minnesota Vikings,11,2,1,.821,305,176,129,9.2,0.1,9.3,3.7,5.7
6,Chicago Bears,7,7,0,.500,253,216,37,2.6,1.9,4.6,0.3,4.2
7,Detroit Lions,6,8,0,.429,262,220,42,3.0,-0.2,2.8,-0.6,3.4
8,Green Bay Packers,5,9,0,.357,218,299,-81,-5.8,1.3,-4.5,-2.5,-2.0
9,Los Angeles Rams,10,3,1,.750,351,190,161,11.5,-1.0,10.5,5.9,4.5
10,San Francisco 49ers,8,6,0,.571,270,190,80,5.7,-1.9,3.8,-1.3,5.0
11,Atlanta Falcons,4,10,0,.286,172,312,-140,-10.0,-0.3,-10.3,-6.7,-3.5
12,New Orleans Saints,4,10,0,.286,253,346,-93,-6.6,0.5,-6.1,-0.6,-5.5
13,Seattle Seahawks,2,12,0,.143,229,429,-200,-14.3,-0.8,-15.1,-2.2,-12.9
14,Baltimore Colts,11,3,0,.786,417,246,171,12.2,-2.5,9.8,9.3,0.4
15,New England Patriots,11,3,0,.786,376,236,140,10.0,-1.4,8.6,6.5,2.2
16,Miami Dolphins,6,8,0,.429,263,264,-1,-0.1,0.0,-0.1,-1.8,1.7
17,New York Jets,3,11,0,.214,169,383,-214,-15.3,1.5,-13.8,-7.1,-6.8
18,Buffalo Bills,2,12,0,.143,245,363,-118,-8.4,-0.8,-9.2,-2.5,-6.7
19,Pittsburgh Steelers,10,4,0,.714,342,138,204,14.6,0.8,15.3,5.7,9.6
20,Cincinnati Bengals,10,4,0,.714,335,210,125,8.9,1.2,10.1,5.0,5.1
21,Cleveland Browns,9,5,0,.643,267,287,-20,-1.4,-0.3,-1.7,0.7,-2.4
22,Houston Oilers,5,9,0,.357,222,273,-51,-3.6,1.9,-1.8,-2.7,1.0
23,Oakland Raiders,13,1,0,.929,350,237,113,8.1,0.4,8.5,6.3,2.2
24,Denver Broncos,9,5,0,.643,315,206,109,7.8,-0.8,6.9,2.5,4.4
25,San Diego Chargers,6,8,0,.429,248,285,-37,-2.6,1.5,-1.2,-1.7,0.5
26,Kansas City Chiefs,5,9,0,.357,290,376,-86,-6.1,1.4,-4.7,2.2,-6.9
27,Tampa Bay Buccaneers,0,14,0,.000,125,412,-287,-20.5,0.8,-19.7,-10.8,-8.8
