,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,New York Giants,13,3,.813,335,211,124,7.8,-0.1,7.7,0.0,7.6
1,Philadelphia Eagles,10,6,.625,396,299,97,6.1,-0.5,5.6,4.5,1.1
2,Washington Redskins,10,6,.625,381,301,80,5.0,0.4,5.4,4.6,0.8
3,Dallas Cowboys,7,9,.438,244,308,-64,-4.0,0.3,-3.7,-4.8,1.1
4,Phoenix Cardinals,5,11,.313,268,396,-128,-8.0,1.3,-6.7,-1.9,-4.8
5,Chicago Bears,11,5,.688,348,280,68,4.3,-0.8,3.4,0.1,3.3
6,Tampa Bay Buccaneers,6,10,.375,264,367,-103,-6.4,-0.7,-7.1,-4.0,-3.2
7,Detroit Lions,6,10,.375,373,413,-40,-2.5,0.9,-1.6,4.2,-5.9
8,Green Bay Packers,6,10,.375,271,347,-76,-4.8,0.6,-4.1,-3.7,-0.4
9,Minnesota Vikings,6,10,.375,351,326,25,1.6,0.9,2.4,2.6,-0.2
10,San Francisco 49ers,14,2,.875,353,239,114,7.1,-1.4,5.8,1.2,4.6
11,New Orleans Saints,8,8,.500,274,275,-1,-0.1,-1.2,-1.3,-4.7,3.4
12,Los Angeles Rams,5,11,.313,345,412,-67,-4.2,-0.1,-4.2,2.3,-6.5
13,Atlanta Falcons,5,11,.313,348,365,-17,-1.1,-1.1,-2.1,0.9,-3.1
14,Buffalo Bills,13,3,.813,428,263,165,10.3,-1.7,8.6,5.7,2.9
15,Miami Dolphins,12,4,.750,336,242,94,5.9,-1.2,4.7,0.5,4.2
16,Indianapolis Colts,7,9,.438,281,353,-72,-4.5,0.6,-3.9,-2.7,-1.2
17,New York Jets,6,10,.375,295,345,-50,-3.1,-1.5,-4.6,-2.0,-2.6
18,New England Patriots,1,15,.063,181,446,-265,-16.6,2.0,-14.6,-7.5,-7.1
19,Cincinnati Bengals,9,7,.563,360,352,8,0.5,-1.6,-1.1,1.9,-3.0
20,Houston Oilers,9,7,.563,405,307,98,6.1,-0.9,5.2,4.9,0.3
21,Pittsburgh Steelers,9,7,.563,292,240,52,3.3,-1.6,1.6,-3.4,5.0
22,Cleveland Browns,3,13,.188,228,462,-234,-14.6,1.7,-13.0,-5.2,-7.8
23,Los Angeles Raiders,12,4,.750,337,268,69,4.3,2.2,6.6,2.2,4.4
24,Kansas City Chiefs,11,5,.688,369,257,112,7.0,-0.3,6.7,2.7,4.1
25,Seattle Seahawks,9,7,.563,306,286,20,1.3,1.5,2.7,-0.5,3.3
26,San Diego Chargers,6,10,.375,315,281,34,2.1,0.2,2.3,-0.1,2.5
27,Denver Broncos,5,11,.313,331,374,-43,-2.7,1.9,-0.8,2.1,-2.9
