,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,New York Jets,11,3,0,.786,419,280,139,9.9,-2.1,7.9,7.0,0.8
1,Houston Oilers,7,7,0,.500,303,248,55,3.9,-0.8,3.1,-1.0,4.1
2,Miami Dolphins,5,8,1,.385,276,355,-79,-5.6,-0.9,-6.5,-2.5,-4.0
3,Boston Patriots,4,10,0,.286,229,406,-177,-12.6,-0.2,-12.8,-5.9,-6.9
4,Buffalo Bills,1,12,1,.077,199,367,-168,-12.0,1.2,-10.8,-7.9,-2.9
5,Oakland Raiders,12,2,0,.857,453,233,220,15.7,-1.4,14.3,10.0,4.3
6,Kansas City Chiefs,12,2,0,.857,371,170,201,14.4,-0.4,14.0,3.8,10.1
7,San Diego Chargers,9,5,0,.643,382,310,72,5.1,1.0,6.2,5.8,0.4
8,Denver Broncos,5,9,0,.357,255,404,-149,-10.6,1.7,-8.9,-2.9,-6.0
9,Cincinnati Bengals,3,11,0,.214,215,329,-114,-8.1,1.8,-6.3,-6.5,0.1
