,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,New York Yankees,11,2,1,.846,378,239,139,9.9,-1.2,8.7,5.3,3.4
1,Buffalo Bills,8,4,2,.667,320,288,32,2.3,-0.3,2.0,1.6,0.4
2,Brooklyn Dodgers,3,10,1,.231,181,340,-159,-11.4,1.4,-9.9,-8.0,-1.9
3,Baltimore Colts,2,11,1,.154,167,377,-210,-15.0,1.9,-13.1,-8.6,-4.5
4,Cleveland Browns,12,1,1,.923,410,185,225,16.1,-2.0,14.1,7.1,7.0
5,San Francisco 49ers,8,4,2,.667,327,264,63,4.5,-0.6,3.9,1.9,2.1
6,Los Angeles Dons,7,7,0,.500,328,256,72,5.1,-0.6,4.5,1.9,2.6
7,Chicago Rockets,1,13,0,.071,263,425,-162,-11.6,1.4,-10.1,-1.1,-9.0
