,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,New York Giants,9,1,1,.900,168,85,83,7.5,-3.2,4.4,-1.8,6.2
1,Washington Redskins,8,2,1,.800,242,94,148,13.5,-4.5,9.0,5.6,3.4
2,Brooklyn Dodgers,4,6,1,.400,108,219,-111,-10.1,-0.3,-10.4,-4.7,-5.7
3,Philadelphia Eagles,1,9,1,.100,105,200,-95,-8.6,1.0,-7.6,-5.6,-2.0
4,Pittsburgh Pirates,1,9,1,.100,114,216,-102,-9.3,-0.2,-9.4,-4.9,-4.6
5,Green Bay Packers,9,2,0,.818,233,153,80,7.3,0.2,7.4,5.4,2.0
6,Chicago Bears,8,3,0,.727,298,157,141,12.8,-0.6,12.2,12.3,0.0
7,Detroit Lions,6,5,0,.545,145,150,-5,-0.5,2.3,1.8,-2.2,4.0
8,Cleveland Rams,5,5,1,.500,195,164,31,2.8,-0.6,2.2,1.5,0.8
9,Chicago Cardinals,1,10,0,.091,84,254,-170,-15.5,5.8,-9.6,-5.5,-4.2
