,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,New York Giants,8,3,1,.727,264,197,67,5.6,-1.4,4.2,2.7,1.4
1,Chicago Cardinals,7,5,0,.583,240,182,58,4.8,-1.4,3.4,-0.1,3.5
2,Washington Redskins,6,6,0,.500,183,225,-42,-3.5,-0.2,-3.7,-3.7,-0.1
3,Cleveland Browns,5,7,0,.417,167,177,-10,-0.8,-1.6,-2.4,-6.8,4.5
4,Pittsburgh Steelers,5,7,0,.417,217,250,-33,-2.8,-0.2,-2.9,-0.3,-2.6
5,Philadelphia Eagles,3,8,1,.273,143,215,-72,-6.0,-0.5,-6.5,-7.7,1.2
6,Chicago Bears,9,2,1,.818,363,246,117,9.8,0.3,10.0,8.8,1.3
7,Detroit Lions,9,3,0,.750,300,188,112,9.3,-0.7,8.7,2.0,6.7
8,San Francisco 49ers,5,6,1,.455,233,284,-51,-4.3,1.6,-2.7,-1.9,-0.7
9,Baltimore Colts,5,7,0,.417,270,322,-52,-4.3,1.3,-3.0,2.0,-5.0
10,Green Bay Packers,4,8,0,.333,264,342,-78,-6.5,2.1,-4.4,2.0,-6.4
11,Los Angeles Rams,4,8,0,.333,291,307,-16,-1.3,0.7,-0.7,3.1,-3.7
