,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Dallas Cowboys,12,2,0,.857,431,186,245,17.5,-3.7,13.8,8.4,5.5
1,New York Giants,7,7,0,.500,294,325,-31,-2.2,-0.1,-2.4,0.0,-2.4
2,Washington Redskins,5,9,0,.357,249,358,-109,-7.8,-0.5,-8.3,-3.1,-5.2
3,Philadelphia Eagles,2,12,0,.143,202,351,-149,-10.6,-0.1,-10.8,-6.6,-4.2
4,Cleveland Browns,10,4,0,.714,394,273,121,8.6,-1.5,7.1,6.6,0.6
5,St. Louis Cardinals,9,4,1,.692,325,289,36,2.6,-0.7,1.8,1.7,0.1
6,New Orleans Saints,4,9,1,.308,246,327,-81,-5.8,-0.7,-6.5,-3.9,-2.6
7,Pittsburgh Steelers,2,11,1,.154,244,397,-153,-10.9,0.9,-10.0,-3.1,-6.9
8,Baltimore Colts,13,1,0,.929,402,144,258,18.4,-0.6,17.9,8.0,9.9
9,Los Angeles Rams,10,3,1,.769,312,200,112,8.0,0.7,8.7,2.0,6.7
10,San Francisco 49ers,7,6,1,.538,303,310,-7,-0.5,1.8,1.3,2.5,-1.2
11,Atlanta Falcons,2,12,0,.143,170,389,-219,-15.6,3.7,-12.0,-6.4,-5.6
12,Minnesota Vikings,8,6,0,.571,282,242,40,2.9,-0.2,2.7,0.3,2.4
13,Chicago Bears,7,7,0,.500,250,333,-83,-5.9,0.9,-5.0,-1.1,-3.9
14,Green Bay Packers,6,7,1,.462,281,227,54,3.9,-0.3,3.5,0.1,3.5
15,Detroit Lions,4,8,2,.333,207,241,-34,-2.4,0.5,-2.0,-5.2,3.2
