,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Houston Oilers,9,4,1,.692,258,199,59,4.2,-1.6,2.6,-5.7,8.3
1,New York Jets,8,5,1,.615,371,329,42,3.0,-0.6,2.4,3.6,-1.2
2,Buffalo Bills,4,10,0,.286,237,285,-48,-3.4,-0.2,-3.7,-6.2,2.5
3,Miami Dolphins,4,10,0,.286,219,407,-188,-13.4,1.2,-12.2,-6.2,-6.0
4,Boston Patriots,3,10,1,.231,280,389,-109,-7.8,1.1,-6.7,-1.7,-5.0
5,Oakland Raiders,13,1,0,.929,468,233,235,16.8,-1.5,15.3,9.8,5.5
6,Kansas City Chiefs,9,5,0,.643,408,254,154,11.0,-0.7,10.3,6.0,4.2
7,San Diego Chargers,8,5,1,.615,360,352,8,0.6,-0.2,0.3,3.2,-2.9
8,Denver Broncos,3,11,0,.214,256,409,-153,-10.9,2.5,-8.4,-2.8,-5.6
