,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,St. Louis Cardinals,11,3,.786,356,276,80,5.7,-2.2,3.5,3.4,0.1
1,Dallas Cowboys,10,4,.714,350,268,82,5.9,-1.7,4.1,4.0,0.1
2,Washington Redskins,8,6,.571,325,276,49,3.5,-0.7,2.8,2.6,0.3
3,New York Giants,5,9,.357,216,306,-90,-6.4,-0.4,-6.8,-6.2,-0.6
4,Philadelphia Eagles,4,10,.286,225,302,-77,-5.5,0.9,-4.6,-4.0,-0.6
5,Minnesota Vikings,12,2,.857,377,180,197,14.1,-5.2,8.9,3.5,5.4
6,Detroit Lions,7,7,.500,245,262,-17,-1.2,-0.7,-1.9,-3.2,1.3
7,Chicago Bears,4,10,.286,191,379,-188,-13.4,1.9,-11.5,-4.9,-6.6
8,Green Bay Packers,4,10,.286,226,285,-59,-4.2,0.0,-4.2,-3.3,-0.9
9,Los Angeles Rams,12,2,.857,312,135,177,12.6,-3.5,9.1,0.5,8.7
10,San Francisco 49ers,5,9,.357,255,286,-31,-2.2,-2.5,-4.7,-2.2,-2.5
11,Atlanta Falcons,4,10,.286,240,289,-49,-3.5,0.0,-3.5,-2.7,-0.8
12,New Orleans Saints,2,12,.143,165,360,-195,-13.9,-0.1,-14.1,-8.2,-5.9
13,Baltimore Colts,10,4,.714,395,269,126,9.0,-0.4,8.6,6.3,2.2
14,Miami Dolphins,10,4,.714,357,222,135,9.6,-0.3,9.3,3.3,6.0
15,Buffalo Bills,8,6,.571,420,355,65,4.6,2.4,7.1,10.4,-3.4
16,New York Jets,3,11,.214,258,433,-175,-12.5,4.2,-8.3,-1.2,-7.1
17,New England Patriots,3,11,.214,258,358,-100,-7.1,2.9,-4.3,-2.3,-2.0
18,Pittsburgh Steelers,12,2,.857,373,162,211,15.1,-0.9,14.2,5.4,8.8
19,Cincinnati Bengals,11,3,.786,340,246,94,6.7,0.2,6.9,4.0,2.9
20,Houston Oilers,10,4,.714,293,226,67,4.8,1.6,6.4,1.2,5.2
21,Cleveland Browns,3,11,.214,218,372,-154,-11.0,4.2,-6.8,-2.6,-4.2
22,Oakland Raiders,11,3,.786,375,255,120,8.6,-1.8,6.8,5.5,1.3
23,Denver Broncos,6,8,.429,254,307,-53,-3.8,0.3,-3.4,-2.7,-0.7
24,Kansas City Chiefs,5,9,.357,282,341,-59,-4.2,0.0,-4.2,-0.6,-3.7
25,San Diego Chargers,2,12,.143,189,345,-156,-11.1,1.7,-9.4,-6.0,-3.4
