,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,New York Giants,9,3,0,.750,246,183,63,5.3,-1.1,4.1,-2.9,7.0
1,Cleveland Browns,9,3,0,.750,302,217,85,7.1,-2.0,5.1,2.1,3.1
2,Pittsburgh Steelers,7,4,1,.636,261,230,31,2.6,-1.7,0.9,-1.2,2.1
3,Washington Redskins,4,7,1,.364,214,268,-54,-4.5,-0.7,-5.2,-5.1,-0.2
4,Chicago Cardinals,2,9,1,.182,261,356,-95,-7.9,0.5,-7.4,0.8,-8.2
5,Philadelphia Eagles,2,9,1,.182,235,306,-71,-5.9,-1.8,-7.7,-3.3,-4.5
6,Baltimore Colts,9,3,0,.750,381,203,178,14.8,-0.7,14.1,9.0,5.1
7,Chicago Bears,8,4,0,.667,298,230,68,5.7,0.2,5.9,1.1,4.8
8,Los Angeles Rams,8,4,0,.667,344,278,66,5.5,0.5,6.0,5.7,0.3
9,San Francisco 49ers,6,6,0,.500,257,324,-67,-5.6,1.8,-3.8,-0.7,-3.1
10,Detroit Lions,4,7,1,.364,261,276,-15,-1.3,2.3,1.1,-0.1,1.1
11,Green Bay Packers,1,10,1,.091,193,382,-189,-15.8,2.8,-13.0,-5.5,-7.4
