,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,New York Giants,8,3,0,.727,238,114,124,11.3,-6.5,4.8,3.3,1.5
1,Brooklyn Dodgers,7,4,0,.636,158,127,31,2.8,-3.3,-0.5,-3.2,2.8
2,Washington Redskins,6,5,0,.545,176,174,2,0.2,-1.5,-1.4,-1.6,0.2
3,Philadelphia Eagles,2,8,1,.200,119,218,-99,-9.0,-0.9,-9.9,-6.0,-3.8
4,Pittsburgh Steelers,1,9,1,.100,103,276,-173,-15.7,1.3,-14.4,-6.5,-7.9
5,Chicago Bears,10,1,0,.909,396,147,249,22.6,-2.4,20.3,19.6,0.7
6,Green Bay Packers,10,1,0,.909,258,120,138,12.5,-0.1,12.4,6.7,5.8
7,Detroit Lions,4,6,1,.400,121,195,-74,-6.7,4.1,-2.6,-4.3,1.7
8,Chicago Cardinals,3,7,1,.300,127,197,-70,-6.4,4.8,-1.6,-3.3,1.8
9,Cleveland Rams,2,9,0,.182,116,244,-128,-11.6,4.4,-7.2,-4.6,-2.6
