,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Dallas Cowboys,12,4,.750,376,229,147,9.2,0.4,9.6,4.9,4.7
1,New York Giants,11,5,.688,288,205,83,5.2,-0.5,4.6,-0.8,5.4
2,Philadelphia Eagles,8,8,.500,293,315,-22,-1.4,1.8,0.4,0.7,-0.3
3,Phoenix Cardinals,7,9,.438,326,269,57,3.6,0.4,3.9,1.9,2.1
4,Washington Redskins,4,12,.250,230,345,-115,-7.2,0.7,-6.5,-3.8,-2.7
5,Detroit Lions,10,6,.625,298,292,6,0.4,-0.7,-0.3,-0.3,0.0
6,Minnesota Vikings,9,7,.563,277,290,-13,-0.8,0.7,-0.1,-1.3,1.2
7,Green Bay Packers,9,7,.563,340,282,58,3.6,-0.4,3.2,2.7,0.5
8,Chicago Bears,7,9,.438,234,230,4,0.3,-0.5,-0.2,-4.6,4.3
9,Tampa Bay Buccaneers,5,11,.313,237,376,-139,-8.7,1.1,-7.6,-3.3,-4.3
10,San Francisco 49ers,10,6,.625,473,295,178,11.1,-1.5,9.7,9.9,-0.3
11,New Orleans Saints,8,8,.500,317,343,-26,-1.6,0.3,-1.3,0.7,-2.1
12,Atlanta Falcons,6,10,.375,316,385,-69,-4.3,-0.1,-4.4,0.8,-5.2
13,Los Angeles Rams,5,11,.313,221,367,-146,-9.1,0.7,-8.4,-5.0,-3.4
14,Buffalo Bills,12,4,.750,329,242,87,5.4,-0.6,4.8,1.8,3.0
15,Miami Dolphins,9,7,.563,349,351,-2,-0.1,-0.3,-0.5,3.9,-4.3
16,New York Jets,8,8,.500,270,247,23,1.4,-0.6,0.8,-2.1,2.9
17,New England Patriots,5,11,.313,238,286,-48,-3.0,-0.8,-3.8,-4.0,0.3
18,Indianapolis Colts,4,12,.250,189,378,-189,-11.8,0.5,-11.3,-6.2,-5.1
19,Houston Oilers,12,4,.750,368,238,130,8.1,-0.9,7.2,4.1,3.1
20,Pittsburgh Steelers,9,7,.563,308,281,27,1.7,-0.2,1.5,0.1,1.5
21,Cleveland Browns,7,9,.438,304,307,-3,-0.2,-1.0,-1.2,-0.6,-0.6
22,Cincinnati Bengals,3,13,.188,187,319,-132,-8.3,-0.2,-8.4,-7.4,-1.0
23,Kansas City Chiefs,11,5,.688,328,291,37,2.3,0.6,2.9,1.9,1.0
24,Los Angeles Raiders,10,6,.625,306,326,-20,-1.3,0.6,-0.7,1.1,-1.7
25,Denver Broncos,9,7,.563,373,284,89,5.6,-0.5,5.0,4.6,0.4
26,San Diego Chargers,8,8,.500,322,290,32,2.0,0.3,2.3,1.1,1.1
27,Seattle Seahawks,6,10,.375,280,314,-34,-2.1,0.9,-1.2,-0.8,-0.5
