,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Buffalo Bills,9,4,1,.692,358,255,103,7.4,-0.2,7.1,2.5,4.6
1,Boston Patriots,8,4,2,.667,315,283,32,2.3,0.3,2.5,-0.4,2.9
2,New York Jets,6,6,2,.500,322,312,10,0.7,0.0,0.7,0.7,0.0
3,Miami Dolphins,3,11,0,.214,213,362,-149,-10.6,0.9,-9.7,-7.3,-2.4
4,Houston Oilers,3,11,0,.214,335,396,-61,-4.4,-0.4,-4.8,2.1,-6.9
5,Kansas City Chiefs,11,2,1,.846,448,276,172,12.3,-1.3,11.0,9.8,1.2
6,Oakland Raiders,8,5,1,.615,315,288,27,1.9,-0.8,1.1,-0.8,1.9
7,San Diego Chargers,7,6,1,.538,335,284,51,3.6,0.5,4.1,1.7,2.4
8,Denver Broncos,4,10,0,.286,196,381,-185,-13.2,1.2,-12.1,-8.3,-3.7
