,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Cleveland Browns,9,3,0,.750,336,162,174,14.5,-4.1,10.4,3.6,6.8
1,Philadelphia Eagles,7,4,1,.636,284,230,54,4.5,-2.9,1.6,0.5,1.2
2,New York Giants,7,5,0,.583,293,184,109,9.1,-5.0,4.1,-0.1,4.2
3,Pittsburgh Steelers,5,7,0,.417,219,263,-44,-3.7,-2.3,-6.0,-5.1,-0.9
4,Washington Redskins,3,9,0,.250,207,432,-225,-18.8,-0.9,-19.7,-3.6,-16.1
5,Chicago Cardinals,2,10,0,.167,183,347,-164,-13.7,-0.8,-14.5,-7.6,-6.9
6,Detroit Lions,9,2,1,.818,337,189,148,12.3,2.5,14.9,7.6,7.3
7,Chicago Bears,8,4,0,.667,301,279,22,1.8,2.9,4.7,5.2,-0.5
8,San Francisco 49ers,7,4,1,.636,313,251,62,5.2,0.9,6.0,4.5,1.6
9,Los Angeles Rams,6,5,1,.545,314,285,29,2.4,2.3,4.8,6.3,-1.5
10,Green Bay Packers,4,8,0,.333,234,251,-17,-1.4,3.3,1.9,-0.9,2.8
11,Baltimore Colts,3,9,0,.250,131,279,-148,-12.3,4.1,-8.3,-10.4,2.1
