,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Washington Redskins,8,2,0,.800,209,121,88,8.8,-4.8,4.0,0.3,3.8
1,Philadelphia Eagles,7,3,0,.700,272,133,139,13.9,-3.8,10.1,8.3,1.9
2,Bos/Bkn Yanks/Tigers,3,6,1,.333,123,211,-88,-8.8,1.6,-7.2,-5.2,-1.9
3,New York Giants,3,6,1,.333,179,198,-19,-1.9,0.2,-1.7,-0.1,-1.6
4,Pittsburgh Steelers,2,8,0,.200,79,220,-141,-14.1,-0.1,-14.2,-10.8,-3.4
5,Cleveland Rams,9,1,0,.900,244,136,108,10.8,0.6,11.4,5.3,6.1
6,Detroit Lions,7,3,0,.700,195,194,1,0.1,0.6,0.7,0.4,0.3
7,Green Bay Packers,6,4,0,.600,258,173,85,8.5,-0.6,7.9,6.9,1.0
8,Chicago Bears,3,7,0,.300,192,235,-43,-4.3,1.4,-2.9,2.0,-4.9
9,Chicago Cardinals,1,9,0,.100,98,228,-130,-13.0,4.8,-8.2,-7.0,-1.2
