,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,New York Giants,11.0,1.0,1.0,0.917,197.0,20.0,177.0,13.6,-1.7,11.9,4.8,7.0
1,Green Bay Packers,7.0,2.0,1.0,0.778,113.0,43.0,70.0,7.0,-1.9,5.1,1.5,3.6
2,Chicago Bears,9.0,3.0,2.0,0.75,149.0,98.0,51.0,3.6,-1.0,2.7,1.3,1.4
3,Cleveland Bulldogs,8.0,4.0,1.0,0.667,209.0,107.0,102.0,7.8,1.8,9.7,7.9,1.7
4,Providence Steam Roller,8.0,5.0,1.0,0.615,105.0,88.0,17.0,1.2,-2.9,-1.7,-3.4,1.7
5,New York Yankees,7.0,8.0,1.0,0.467,142.0,174.0,-32.0,-2.0,2.1,0.1,0.7,-0.6
6,Frankford Yellow Jackets,6.0,9.0,3.0,0.4,152.0,166.0,-14.0,-0.8,-2.4,-3.2,-2.0,-1.2
7,Pottsville Maroons,5.0,8.0,0.0,0.385,80.0,163.0,-83.0,-6.4,-1.5,-7.9,-3.6,-4.3
8,Chicago Cardinals,3.0,7.0,1.0,0.3,69.0,134.0,-65.0,-5.9,1.8,-4.1,-1.6,-2.5
9,Dayton Triangles,1.0,6.0,1.0,0.143,15.0,57.0,-42.0,-5.3,3.8,-1.5,-4.8,3.3
10,Duluth Eskimos,1.0,8.0,0.0,0.111,68.0,134.0,-66.0,-7.3,6.9,-0.4,1.7,-2.2
11,Buffalo Bisons,0.0,5.0,0.0,0.0,8.0,123.0,-115.0,-23.0,-2.2,-25.2,-8.1,-17.1
