,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Green Bay Packers,12.0,0.0,1.0,1.0,198.0,22.0,176.0,13.5,-1.3,12.2,4.3,7.9
1,New York Giants,13.0,1.0,1.0,0.929,312.0,86.0,226.0,15.1,-1.2,13.9,12.2,1.7
2,Frankford Yellow Jackets,10.0,4.0,5.0,0.714,139.0,128.0,11.0,0.6,-0.1,-0.1,-2.7,2.6
3,Chicago Cardinals,6.0,6.0,1.0,0.5,154.0,83.0,71.0,5.5,0.2,5.7,2.3,3.4
4,Boston Bulldogs,4.0,4.0,0.0,0.5,98.0,73.0,25.0,3.1,-6.0,-2.9,1.6,-4.4
5,Staten Island Stapletons,3.0,4.0,3.0,0.429,89.0,65.0,24.0,2.4,-2.0,0.4,-1.9,2.3
6,Providence Steam Roller,4.0,6.0,2.0,0.4,107.0,117.0,-10.0,-0.8,-1.2,-2.0,-1.5,-0.5
7,Orange Tornadoes,3.0,5.0,4.0,0.375,35.0,90.0,-55.0,-4.6,2.5,-1.3,-5.8,4.6
8,Chicago Bears,4.0,9.0,2.0,0.308,119.0,227.0,-108.0,-7.2,1.8,-5.4,-1.5,-3.9
9,Buffalo Bisons,1.0,7.0,1.0,0.125,48.0,142.0,-94.0,-10.4,0.4,-10.0,-4.7,-5.3
10,Minneapolis Red Jackets,1.0,9.0,0.0,0.1,48.0,185.0,-137.0,-13.7,2.4,-11.3,-2.8,-8.5
11,Dayton Triangles,0.0,6.0,0.0,0.0,7.0,136.0,-129.0,-21.5,5.3,-16.2,-4.9,-11.3
