,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Cleveland Browns,9.0,1.0,2.0,0.9,339.0,171.0,168.0,14.0,-2.2,11.8,5.8,6.0
1,San Francisco 49ers,9.0,3.0,0.0,0.75,416.0,227.0,189.0,15.8,-2.3,13.5,13.3,0.2
2,New York Yankees,8.0,4.0,0.0,0.667,196.0,206.0,-10.0,-0.8,0.1,-0.7,-5.8,5.1
3,Buffalo Bills,5.0,5.0,2.0,0.5,236.0,256.0,-20.0,-1.7,0.2,-1.4,-1.7,0.3
4,Chicago Hornets,4.0,8.0,0.0,0.333,179.0,268.0,-89.0,-7.4,1.5,-5.9,-6.2,0.3
5,Los Angeles Dons,4.0,8.0,0.0,0.333,253.0,322.0,-69.0,-5.8,0.8,-4.9,0.7,-5.6
6,Baltimore Colts,1.0,11.0,0.0,0.083,172.0,341.0,-169.0,-14.1,1.8,-12.3,-6.1,-6.2
