,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Green Bay Packers,10.0,3.0,1.0,0.769,234.0,111.0,123.0,8.8,0.8,9.5,6.7,2.9
1,New York Giants,13.0,4.0,0.0,0.765,308.0,98.0,210.0,12.4,-0.6,11.7,7.8,3.9
2,Chicago Bears,9.0,4.0,1.0,0.692,169.0,71.0,98.0,7.0,0.8,7.8,0.9,6.9
3,Brooklyn Dodgers,7.0,4.0,1.0,0.636,154.0,59.0,95.0,7.9,-2.1,5.8,1.4,4.4
4,Providence Steam Roller,6.0,4.0,1.0,0.6,90.0,125.0,-35.0,-3.2,-3.3,-6.5,-4.3,-2.2
5,Staten Island Stapletons,5.0,5.0,2.0,0.5,95.0,112.0,-17.0,-1.4,-1.4,-2.8,-3.9,1.1
6,Chicago Cardinals,5.0,6.0,2.0,0.455,128.0,132.0,-4.0,-0.3,1.4,1.1,-0.6,1.7
7,Portsmouth Spartans,5.0,6.0,3.0,0.455,176.0,161.0,15.0,1.1,-0.7,0.4,1.8,-1.4
8,Frankford Yellow Jackets,4.0,13.0,1.0,0.235,113.0,321.0,-208.0,-11.6,1.0,-10.5,-3.4,-7.2
9,Minneapolis Red Jackets,1.0,7.0,1.0,0.125,27.0,165.0,-138.0,-15.3,4.4,-11.0,-5.1,-5.9
10,Newark Tornadoes,1.0,10.0,1.0,0.091,51.0,190.0,-139.0,-11.6,0.0,-11.5,-6.0,-5.5
