,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Dallas Cowboys,10,4,0,.714,299,221,78,5.6,1.4,7.0,2.5,4.5
1,New York Giants,9,5,0,.643,301,270,31,2.2,-0.2,2.0,1.9,0.1
2,St. Louis Cardinals,8,5,1,.615,325,228,97,6.9,0.5,7.4,3.8,3.6
3,Washington Redskins,6,8,0,.429,297,314,-17,-1.2,4.2,3.0,3.6,-0.6
4,Philadelphia Eagles,3,10,1,.231,241,332,-91,-6.5,2.0,-4.5,-0.9,-3.6
5,Minnesota Vikings,12,2,0,.857,335,143,192,13.7,1.4,15.1,5.9,9.2
6,Detroit Lions,10,4,0,.714,347,202,145,10.4,3.7,14.0,7.4,6.6
7,Green Bay Packers,6,8,0,.429,196,293,-97,-6.9,5.1,-1.8,-2.4,0.6
8,Chicago Bears,6,8,0,.429,256,261,-5,-0.4,2.6,2.2,0.4,1.8
9,San Francisco 49ers,10,3,1,.769,352,267,85,6.1,0.4,6.5,6.4,0.1
10,Los Angeles Rams,9,4,1,.692,325,202,123,8.8,0.8,9.6,4.4,5.3
11,Atlanta Falcons,4,8,2,.333,206,261,-55,-3.9,1.6,-2.3,-3.5,1.2
12,New Orleans Saints,2,11,1,.154,172,347,-175,-12.5,4.6,-7.9,-4.6,-3.3
13,Baltimore Colts,11,2,1,.846,321,234,87,6.2,-5.8,0.4,0.9,-0.5
14,Miami Dolphins,10,4,0,.714,297,228,69,4.9,-6.3,-1.3,-1.3,0.0
15,New York Jets,4,10,0,.286,255,286,-31,-2.2,-2.7,-4.9,-2.2,-2.7
16,Buffalo Bills,3,10,1,.231,204,337,-133,-9.5,-2.8,-12.3,-5.8,-6.5
17,Boston Patriots,2,12,0,.143,149,361,-212,-15.1,-0.7,-15.9,-9.1,-6.8
18,Cincinnati Bengals,8,6,0,.571,312,255,57,4.1,-3.5,0.5,1.2,-0.6
19,Cleveland Browns,7,7,0,.500,286,265,21,1.5,-0.9,0.6,0.5,0.1
20,Pittsburgh Steelers,5,9,0,.357,210,272,-62,-4.4,-3.0,-7.4,-5.9,-1.5
21,Houston Oilers,3,10,1,.231,217,352,-135,-9.6,0.4,-9.2,-3.5,-5.8
22,Oakland Raiders,8,4,2,.667,300,293,7,0.5,0.5,1.0,2.3,-1.3
23,Kansas City Chiefs,7,5,2,.583,272,244,28,2.0,-0.5,1.5,-0.1,1.6
24,San Diego Chargers,5,6,3,.455,282,278,4,0.3,-1.0,-0.7,0.5,-1.2
25,Denver Broncos,5,8,1,.385,253,264,-11,-0.8,-1.8,-2.6,-2.5,-0.1
