,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Washington Redskins,14,2,0,.875,541,332,209,13.1,0.9,13.9,11.7,2.2
1,Dallas Cowboys,12,4,0,.750,479,360,119,7.4,1.1,8.5,8.6,-0.1
2,St. Louis Cardinals,8,7,1,.531,374,428,-54,-3.4,2.3,-1.1,2.5,-3.6
3,Philadelphia Eagles,5,11,0,.313,233,322,-89,-5.6,2.4,-3.1,-6.7,3.6
4,New York Giants,3,12,1,.219,267,347,-80,-5.0,2.9,-2.1,-5.5,3.4
5,Detroit Lions,9,7,0,.563,347,286,61,3.8,-1.7,2.1,-1.2,3.3
6,Green Bay Packers,8,8,0,.500,429,439,-10,-0.6,-1.2,-1.9,5.2,-7.1
7,Chicago Bears,8,8,0,.500,311,301,10,0.6,-1.7,-1.1,-2.5,1.5
8,Minnesota Vikings,8,8,0,.500,316,348,-32,-2.0,-1.1,-3.1,-2.9,-0.1
9,Tampa Bay Buccaneers,2,14,0,.125,241,380,-139,-8.7,-0.3,-9.0,-7.5,-1.6
10,San Francisco 49ers,10,6,0,.625,432,293,139,8.7,0.0,8.7,5.7,3.0
11,Los Angeles Rams,9,7,0,.563,361,344,17,1.1,1.8,2.9,2.0,0.9
12,New Orleans Saints,8,8,0,.500,319,337,-18,-1.1,1.1,0.0,-1.1,1.1
13,Atlanta Falcons,7,9,0,.438,370,389,-19,-1.2,2.0,0.9,2.9,-2.1
14,Miami Dolphins,12,4,0,.750,389,250,139,8.7,-1.0,7.7,2.6,5.2
15,New England Patriots,8,8,0,.500,274,289,-15,-0.9,-0.1,-1.0,-4.7,3.7
16,Buffalo Bills,8,8,0,.500,283,351,-68,-4.3,0.5,-3.8,-3.4,-0.4
17,Baltimore Colts,7,9,0,.438,264,354,-90,-5.6,-1.2,-6.9,-4.1,-2.7
18,New York Jets,7,9,0,.438,313,331,-18,-1.1,-0.1,-1.2,-1.9,0.7
19,Pittsburgh Steelers,10,6,0,.625,355,303,52,3.3,-3.3,-0.1,-1.2,1.1
20,Cleveland Browns,9,7,0,.563,356,342,14,0.9,-3.1,-2.2,-0.9,-1.3
21,Cincinnati Bengals,7,9,0,.438,346,302,44,2.8,-2.3,0.5,-1.2,1.7
22,Houston Oilers,2,14,0,.125,288,460,-172,-10.8,-0.8,-11.5,-3.7,-7.9
23,Los Angeles Raiders,12,4,0,.750,442,338,104,6.5,0.3,6.8,5.1,1.7
24,Seattle Seahawks,9,7,0,.563,403,397,6,0.4,1.1,1.5,3.4,-2.0
25,Denver Broncos,9,7,0,.563,302,327,-25,-1.6,-1.2,-2.8,-4.1,1.3
26,San Diego Chargers,6,10,0,.375,358,462,-104,-6.5,1.9,-4.6,1.1,-5.7
27,Kansas City Chiefs,6,10,0,.375,386,367,19,1.2,0.9,2.0,1.7,0.3
