,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Washington Redskins,11,5,0,.688,426,310,116,7.3,-0.9,6.4,5.0,1.3
1,New York Giants,9,7,0,.563,299,301,-2,-0.1,1.0,0.8,-2.2,3.1
2,St. Louis Cardinals,9,7,0,.563,423,345,78,4.9,0.5,5.4,6.2,-0.9
3,Dallas Cowboys,9,7,0,.563,308,308,0,0.0,1.0,1.0,-1.4,2.4
4,Philadelphia Eagles,6,9,1,.406,278,320,-42,-2.6,0.2,-2.4,-4.3,1.9
5,Chicago Bears,10,6,0,.625,325,248,77,4.8,-0.1,4.7,-1.7,6.4
6,Green Bay Packers,8,8,0,.500,390,309,81,5.1,-0.1,5.0,2.9,2.1
7,Tampa Bay Buccaneers,6,10,0,.375,335,380,-45,-2.8,-0.7,-3.5,-0.2,-3.4
8,Detroit Lions,4,11,1,.281,283,408,-125,-7.8,1.6,-6.3,-2.9,-3.4
9,Minnesota Vikings,3,13,0,.188,276,484,-208,-13.0,2.1,-10.9,-2.7,-8.2
10,San Francisco 49ers,15,1,0,.938,475,227,248,15.5,-2.8,12.7,7.4,5.4
11,Los Angeles Rams,10,6,0,.625,346,316,30,1.9,0.4,2.3,1.0,1.3
12,New Orleans Saints,7,9,0,.438,298,361,-63,-3.9,1.0,-2.9,-1.7,-1.2
13,Atlanta Falcons,4,12,0,.250,281,382,-101,-6.3,-0.3,-6.6,-3.7,-2.9
14,Miami Dolphins,14,2,0,.875,513,298,215,13.4,-2.9,10.6,9.1,1.5
15,New England Patriots,9,7,0,.563,362,352,10,0.6,-0.8,-0.1,1.0,-1.1
16,New York Jets,7,9,0,.438,332,364,-32,-2.0,-2.5,-4.5,-1.8,-2.7
17,Indianapolis Colts,4,12,0,.250,239,414,-175,-10.9,-0.2,-11.1,-7.4,-3.7
18,Buffalo Bills,2,14,0,.125,250,454,-204,-12.8,0.7,-12.0,-5.3,-6.7
19,Pittsburgh Steelers,9,7,0,.563,387,310,77,4.8,-1.6,3.3,2.4,0.9
20,Cincinnati Bengals,8,8,0,.500,339,339,0,0.0,-1.2,-1.2,-0.1,-1.0
21,Cleveland Browns,5,11,0,.313,250,297,-47,-2.9,-0.8,-3.8,-6.1,2.3
22,Houston Oilers,3,13,0,.188,240,437,-197,-12.3,0.3,-12.0,-5.9,-6.0
23,Denver Broncos,13,3,0,.813,353,241,112,7.0,0.7,7.7,1.0,6.7
24,Seattle Seahawks,12,4,0,.750,418,282,136,8.5,0.5,9.0,5.4,3.5
25,Los Angeles Raiders,11,5,0,.688,368,278,90,5.6,1.2,6.9,2.1,4.8
26,Kansas City Chiefs,8,8,0,.500,314,324,-10,-0.6,1.5,0.8,-0.8,1.6
27,San Diego Chargers,7,9,0,.438,394,413,-19,-1.2,2.0,0.8,4.8,-4.0
