,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Washington Redskins,9,2,0,.818,245,142,103,9.4,-2.9,6.5,7.3,-0.8
1,Brooklyn Dodgers,8,3,0,.727,186,120,66,6.0,-2.3,3.7,0.9,2.8
2,New York Giants,6,4,1,.600,131,133,-2,-0.2,-1.0,-1.1,-4.1,3.0
3,Pittsburgh Steelers,2,7,2,.222,60,178,-118,-10.7,0.4,-10.3,-9.5,-0.8
4,Philadelphia Eagles,1,10,0,.091,111,211,-100,-9.1,0.5,-8.6,-4.0,-4.6
5,Chicago Bears,8,3,0,.727,238,152,86,7.8,1.2,9.0,6.8,2.2
6,Green Bay Packers,6,4,1,.600,238,155,83,7.5,-1.4,6.2,6.4,-0.2
7,Detroit Lions,5,5,1,.500,138,153,-15,-1.4,0.6,-0.8,-3.6,2.8
8,Cleveland Rams,4,6,1,.400,171,191,-20,-1.8,1.5,-0.3,1.0,-1.3
9,Chicago Cardinals,2,7,2,.222,139,222,-83,-7.5,3.3,-4.3,-1.3,-2.9
