,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Dallas Cowboys,10,4,0,.714,382,203,179,12.8,0.0,12.8,6.8,6.0
1,Washington Redskins,10,4,0,.714,325,198,127,9.1,-1.7,7.4,1.2,6.2
2,Philadelphia Eagles,5,8,1,.393,310,393,-83,-5.9,1.7,-4.2,3.5,-7.7
3,St. Louis Cardinals,4,9,1,.321,286,365,-79,-5.6,2.3,-3.3,1.8,-5.1
4,New York Giants,2,11,1,.179,226,362,-136,-9.7,2.2,-7.5,-2.8,-4.7
5,Minnesota Vikings,12,2,0,.857,296,168,128,9.1,-0.5,8.6,1.7,6.9
6,Detroit Lions,6,7,1,.464,271,247,24,1.7,0.3,2.0,0.8,1.2
7,Green Bay Packers,5,7,2,.429,202,259,-57,-4.1,-0.8,-4.9,-5.1,0.2
8,Chicago Bears,3,11,0,.214,195,334,-139,-9.9,1.1,-8.8,-4.4,-4.5
9,Los Angeles Rams,12,2,0,.857,388,178,210,15.0,-1.6,13.4,8.2,5.2
10,Atlanta Falcons,9,5,0,.643,318,224,94,6.7,-0.9,5.9,2.3,3.5
11,San Francisco 49ers,5,9,0,.357,262,319,-57,-4.1,3.9,-0.2,1.4,-1.6
12,New Orleans Saints,5,9,0,.357,163,312,-149,-10.6,1.9,-8.8,-7.0,-1.7
13,Miami Dolphins,12,2,0,.857,343,150,193,13.8,-0.5,13.3,5.0,8.3
14,Buffalo Bills,9,5,0,.643,259,230,29,2.1,-1.7,0.4,-1.8,2.1
15,New England Patriots,5,9,0,.357,258,300,-42,-3.0,-3.0,-6.0,-2.6,-3.4
16,New York Jets,4,10,0,.286,240,306,-66,-4.7,1.3,-3.4,-1.8,-1.6
17,Baltimore Colts,4,10,0,.286,226,341,-115,-8.2,-0.2,-8.4,-2.4,-5.9
18,Cincinnati Bengals,10,4,0,.714,286,231,55,3.9,-0.9,3.0,0.1,2.9
19,Pittsburgh Steelers,10,4,0,.714,347,210,137,9.8,-1.6,8.2,4.5,3.8
20,Cleveland Browns,7,5,2,.571,234,255,-21,-1.5,0.3,-1.2,-2.6,1.4
21,Houston Oilers,1,13,0,.071,199,447,-248,-17.7,1.0,-16.8,-4.4,-12.4
22,Oakland Raiders,9,4,1,.679,292,175,117,8.4,-1.7,6.7,0.0,6.7
23,Kansas City Chiefs,7,5,2,.571,231,192,39,2.8,-1.8,1.0,-4.2,5.1
24,Denver Broncos,7,5,2,.571,354,296,58,4.1,-1.2,2.9,5.4,-2.5
25,San Diego Chargers,2,11,1,.179,188,386,-198,-14.1,2.1,-12.0,-3.6,-8.4
