,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Chicago Bears,7.0,1.0,6.0,0.875,160.0,44.0,116.0,8.3,-0.5,7.8,2.7,5.1
1,Green Bay Packers,10.0,3.0,1.0,0.769,152.0,63.0,89.0,6.4,-0.1,6.2,2.4,3.8
2,Portsmouth Spartans,6.0,2.0,4.0,0.75,116.0,71.0,45.0,3.8,0.9,4.7,1.8,2.8
3,Boston Braves,4.0,4.0,2.0,0.5,55.0,79.0,-24.0,-2.4,-1.6,-4.0,-4.0,-0.1
4,New York Giants,4.0,6.0,2.0,0.4,93.0,113.0,-20.0,-1.7,0.2,-1.5,0.0,-1.5
5,Brooklyn Dodgers,3.0,9.0,0.0,0.25,63.0,131.0,-68.0,-5.7,-0.6,-6.2,-3.5,-2.7
6,Chicago Cardinals,2.0,6.0,2.0,0.25,72.0,114.0,-42.0,-4.2,1.1,-3.1,0.2,-3.3
7,Staten Island Stapletons,2.0,7.0,3.0,0.222,77.0,173.0,-96.0,-8.0,0.7,-7.3,-1.1,-6.2
