,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Cleveland Browns,9,2,1,.818,269,172,97,8.1,-1.2,6.8,2.4,4.5
1,New York Giants,7,5,0,.583,254,211,43,3.6,-1.4,2.2,1.4,0.8
2,Pittsburgh Steelers,6,6,0,.500,161,178,-17,-1.4,-0.3,-1.7,-7.0,5.3
3,Washington Redskins,5,6,1,.455,251,230,21,1.8,-0.3,1.4,2.3,-0.9
4,Philadelphia Eagles,4,8,0,.333,173,230,-57,-4.8,0.6,-4.2,-5.0,0.9
5,Chicago Cardinals,3,9,0,.250,200,299,-99,-8.3,0.7,-7.6,-1.1,-6.4
6,Detroit Lions,8,4,0,.667,251,231,20,1.7,0.4,2.0,0.7,1.4
7,San Francisco 49ers,8,4,0,.667,260,264,-4,-0.3,0.1,-0.2,0.9,-1.2
8,Baltimore Colts,7,5,0,.583,303,235,68,5.7,-0.4,5.3,5.1,0.1
9,Los Angeles Rams,6,6,0,.500,307,278,29,2.4,0.3,2.7,6.1,-3.4
10,Chicago Bears,5,7,0,.417,203,211,-8,-0.7,0.1,-0.6,-4.9,4.3
11,Green Bay Packers,3,9,0,.250,218,311,-93,-7.8,1.6,-6.2,-0.9,-5.3
