,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,New York Giants,12,2,0,.857,398,283,115,8.2,-3.8,4.4,4.0,0.5
1,Pittsburgh Steelers,9,5,0,.643,312,363,-51,-3.6,-3.1,-6.7,-2.1,-4.6
2,Cleveland Browns,7,6,1,.538,291,257,34,2.4,-4.0,-1.5,-5.0,3.5
3,Washington Redskins,5,7,2,.417,305,376,-71,-5.1,-3.3,-8.4,-2.6,-5.8
4,Dallas Cowboys,5,8,1,.385,398,402,-4,-0.3,-3.7,-4.0,4.5,-8.5
5,St. Louis Cardinals,4,9,1,.308,287,361,-74,-5.3,-2.0,-7.3,-3.7,-3.6
6,Philadelphia Eagles,3,10,1,.231,282,356,-74,-5.3,-2.4,-7.7,-4.4,-3.3
7,Green Bay Packers,13,1,0,.929,415,148,267,19.1,0.6,19.7,8.3,11.3
8,Detroit Lions,11,3,0,.786,315,177,138,9.9,2.5,12.4,1.5,10.9
9,Chicago Bears,9,5,0,.643,321,287,34,2.4,3.6,6.1,2.7,3.4
10,Baltimore Colts,7,7,0,.500,293,288,5,0.4,3.2,3.6,1.2,2.4
11,San Francisco 49ers,6,8,0,.429,282,331,-49,-3.5,3.8,0.3,1.0,-0.8
12,Minnesota Vikings,2,11,1,.154,254,410,-156,-11.1,4.4,-6.7,-0.8,-6.0
13,Los Angeles Rams,1,12,1,.077,220,334,-114,-8.1,4.1,-4.0,-4.6,0.6
