,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Washington Redskins,10,1,0,.909,227,102,125,11.4,-3.8,7.6,4.9,2.7
1,Pittsburgh Steelers,7,4,0,.636,167,119,48,4.4,-1.6,2.7,-1.0,3.7
2,New York Giants,5,5,1,.500,155,139,16,1.5,1.6,3.0,-1.3,4.4
3,Brooklyn Dodgers,3,8,0,.273,100,168,-68,-6.2,1.1,-5.1,-5.8,0.7
4,Philadelphia Eagles,2,9,0,.182,134,239,-105,-9.5,3.7,-5.8,-1.7,-4.2
5,Chicago Bears,11,0,0,1.000,376,84,292,26.5,-5.2,21.4,16.0,5.3
6,Green Bay Packers,8,2,1,.800,300,215,85,7.7,-1.5,6.3,11.4,-5.2
7,Cleveland Rams,5,6,0,.455,150,207,-57,-5.2,0.3,-4.9,-3.3,-1.6
8,Chicago Cardinals,3,8,0,.273,98,209,-111,-10.1,2.5,-7.5,-7.0,-0.5
9,Detroit Lions,0,11,0,.000,38,263,-225,-20.5,2.8,-17.6,-12.3,-5.3
