,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Cleveland Browns,9,2,1,.818,349,218,131,10.9,1.1,12.0,9.4,2.6
1,Washington Redskins,8,4,0,.667,246,222,24,2.0,2.3,4.3,1.0,3.3
2,New York Giants,6,5,1,.545,267,223,44,3.7,2.2,5.9,2.9,3.0
3,Chicago Cardinals,4,7,1,.364,224,252,-28,-2.3,3.6,1.2,-0.7,2.0
4,Philadelphia Eagles,4,7,1,.364,248,231,17,1.4,3.2,4.6,1.3,3.3
5,Pittsburgh Steelers,4,8,0,.333,195,285,-90,-7.5,4.0,-3.5,-2.5,-1.0
6,Los Angeles Rams,8,3,1,.727,260,231,29,2.4,-3.8,-1.3,-1.2,-0.2
7,Chicago Bears,8,4,0,.667,294,251,43,3.6,-3.6,0.0,2.3,-2.3
8,Green Bay Packers,6,6,0,.500,258,276,-18,-1.5,-2.3,-3.8,-0.6,-3.2
9,Baltimore Colts,5,6,1,.455,214,239,-25,-2.1,-2.5,-4.6,-4.7,0.2
10,San Francisco 49ers,4,8,0,.333,216,298,-82,-6.8,-1.4,-8.2,-3.8,-4.4
11,Detroit Lions,3,9,0,.250,230,275,-45,-3.8,-2.8,-6.5,-3.2,-3.4
