,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Cleveland Browns,10,2,.833,310,144,166,13.8,1.7,15.6,5.8,9.7
1,New York Giants,10,2,.833,268,150,118,9.8,2.7,12.6,1.4,11.2
2,Philadelphia Eagles,6,6,.500,254,141,113,9.4,3.6,13.0,0.3,12.8
3,Pittsburgh Steelers,6,6,.500,180,195,-15,-1.3,4.5,3.2,-4.8,8.0
4,Chicago Cardinals,5,7,.417,233,287,-54,-4.5,5.7,1.2,2.9,-1.7
5,Washington Redskins,3,9,.250,232,326,-94,-7.8,2.8,-5.0,-0.1,-4.8
6,Los Angeles Rams,9,3,.750,466,309,157,13.1,-5.3,7.8,13.3,-5.5
7,Chicago Bears,9,3,.750,279,207,72,6.0,-3.7,2.3,-4.5,6.8
8,New York Yanks,7,5,.583,366,367,-1,-0.1,-3.5,-3.6,5.4,-8.9
9,Detroit Lions,6,6,.500,321,285,36,3.0,-4.6,-1.6,0.1,-1.7
10,Green Bay Packers,3,9,.250,244,406,-162,-13.5,-2.8,-16.3,-5.9,-10.4
11,San Francisco 49ers,3,9,.250,213,300,-87,-7.3,-2.2,-9.5,-8.9,-0.6
12,Baltimore Colts,1,11,.083,213,462,-249,-20.8,1.0,-19.7,-4.9,-14.8
