,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Dallas Cowboys,11,5,.688,371,313,58,3.6,-0.3,3.3,3.0,0.3
1,Philadelphia Eagles,11,5,.688,339,282,57,3.6,-0.9,2.7,0.3,2.4
2,Washington Redskins,10,6,.625,348,295,53,3.3,-0.8,2.5,0.9,1.5
3,New York Giants,6,10,.375,237,323,-86,-5.4,-0.8,-6.1,-5.4,-0.8
4,St. Louis Cardinals,5,11,.313,307,358,-51,-3.2,0.4,-2.7,-0.7,-2.0
5,Tampa Bay Buccaneers,10,6,.625,273,237,36,2.3,-5.1,-2.8,-4.6,1.8
6,Chicago Bears,10,6,.625,306,249,57,3.6,-3.6,0.0,-2.2,2.1
7,Minnesota Vikings,7,9,.438,259,337,-78,-4.9,-2.7,-7.5,-4.5,-3.1
8,Green Bay Packers,5,11,.313,246,316,-70,-4.4,-2.5,-6.8,-5.3,-1.6
9,Detroit Lions,2,14,.125,219,365,-146,-9.1,-1.9,-11.0,-6.6,-4.4
10,Los Angeles Rams,9,7,.563,323,309,14,0.9,-1.5,-0.6,-1.2,0.6
11,New Orleans Saints,8,8,.500,370,360,10,0.6,-1.8,-1.2,2.3,-3.5
12,Atlanta Falcons,6,10,.375,300,388,-88,-5.5,-1.1,-6.6,-1.9,-4.7
13,San Francisco 49ers,2,14,.125,308,416,-108,-6.8,-0.7,-7.4,-1.3,-6.1
14,Miami Dolphins,10,6,.625,341,257,84,5.3,-0.9,4.3,0.3,4.0
15,New England Patriots,9,7,.563,411,326,85,5.3,-0.2,5.1,6.1,-1.1
16,New York Jets,8,8,.500,337,383,-46,-2.9,0.0,-2.9,1.1,-4.0
17,Buffalo Bills,7,9,.438,268,279,-11,-0.7,0.4,-0.2,-3.3,3.1
18,Baltimore Colts,5,11,.313,271,351,-80,-5.0,1.5,-3.5,-2.0,-1.5
19,Pittsburgh Steelers,12,4,.750,416,262,154,9.6,2.3,11.9,6.8,5.1
20,Houston Oilers,11,5,.688,362,331,31,1.9,2.4,4.4,2.9,1.4
21,Cleveland Browns,9,7,.563,359,352,7,0.4,2.6,3.0,2.9,0.1
22,Cincinnati Bengals,4,12,.250,337,421,-84,-5.3,3.9,-1.3,3.1,-4.4
23,San Diego Chargers,12,4,.750,411,246,165,10.3,1.5,11.8,6.0,5.7
24,Denver Broncos,10,6,.625,289,262,27,1.7,2.4,4.1,-1.6,5.7
25,Seattle Seahawks,9,7,.563,378,372,6,0.4,2.2,2.6,4.9,-2.3
26,Oakland Raiders,9,7,.563,365,337,28,1.8,2.0,3.8,3.8,0.0
27,Kansas City Chiefs,7,9,.438,238,262,-24,-1.5,2.9,1.4,-4.0,5.4
