,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Dallas Cowboys,12,4,0,.750,384,208,176,11.0,0.0,11.0,5.8,5.2
1,Philadelphia Eagles,9,7,0,.563,270,250,20,1.3,1.1,2.3,-1.1,3.4
2,Washington Redskins,8,8,0,.500,273,283,-10,-0.6,0.2,-0.4,-1.1,0.7
3,St. Louis Cardinals,6,10,0,.375,248,296,-48,-3.0,0.5,-2.5,-2.6,0.0
4,New York Giants,6,10,0,.375,264,298,-34,-2.1,-0.4,-2.5,-1.1,-1.3
5,Minnesota Vikings,8,7,1,.531,294,306,-12,-0.8,0.6,-0.2,1.0,-1.1
6,Green Bay Packers,8,7,1,.531,249,269,-20,-1.3,0.7,-0.6,-2.2,1.6
7,Detroit Lions,7,9,0,.438,290,300,-10,-0.6,-1.2,-1.8,-0.1,-1.7
8,Chicago Bears,7,9,0,.438,253,274,-21,-1.3,-1.1,-2.4,-2.7,0.3
9,Tampa Bay Buccaneers,5,11,0,.313,241,259,-18,-1.1,-2.2,-3.3,-4.1,0.8
10,Los Angeles Rams,12,4,0,.750,316,245,71,4.4,-1.2,3.2,1.3,1.9
11,Atlanta Falcons,9,7,0,.563,240,290,-50,-3.1,-1.5,-4.6,-3.7,-0.9
12,New Orleans Saints,7,9,0,.438,281,298,-17,-1.1,-0.6,-1.7,-0.5,-1.2
13,San Francisco 49ers,2,14,0,.125,219,350,-131,-8.2,-0.9,-9.1,-4.6,-4.5
14,New England Patriots,11,5,0,.688,358,286,72,4.5,0.5,5.0,3.6,1.4
15,Miami Dolphins,11,5,0,.688,372,254,118,7.4,0.2,7.6,4.2,3.3
16,New York Jets,8,8,0,.500,359,364,-5,-0.3,1.4,1.1,4.4,-3.3
17,Buffalo Bills,5,11,0,.313,302,354,-52,-3.3,0.0,-3.3,-0.1,-3.2
18,Baltimore Colts,5,11,0,.313,239,421,-182,-11.4,2.6,-8.8,-2.8,-6.0
19,Pittsburgh Steelers,14,2,0,.875,356,195,161,10.1,-1.9,8.2,2.6,5.6
20,Houston Oilers,10,6,0,.625,283,298,-15,-0.9,0.5,-0.4,-0.6,0.2
21,Cleveland Browns,8,8,0,.500,334,356,-22,-1.4,-0.6,-2.0,2.5,-4.5
22,Cincinnati Bengals,4,12,0,.250,252,284,-32,-2.0,0.7,-1.3,-2.7,1.3
23,Denver Broncos,10,6,0,.625,282,198,84,5.3,-0.2,5.0,-1.9,6.9
24,Oakland Raiders,9,7,0,.563,311,283,28,1.8,0.9,2.6,1.6,1.1
25,Seattle Seahawks,9,7,0,.563,345,358,-13,-0.8,0.5,-0.4,3.4,-3.7
26,San Diego Chargers,9,7,0,.563,355,309,46,2.9,0.7,3.6,4.6,-0.9
27,Kansas City Chiefs,4,12,0,.250,243,327,-84,-5.3,0.9,-4.4,-3.0,-1.4
