,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Houston Oilers,10,3,1,.769,513,242,271,19.4,-2.4,16.9,11.4,5.5
1,Boston Patriots,9,4,1,.692,413,313,100,7.1,-0.9,6.3,4.8,1.4
2,New York Titans,7,7,0,.500,301,390,-89,-6.4,0.8,-5.6,-2.5,-3.0
3,Buffalo Bills,6,8,0,.429,294,342,-48,-3.4,0.4,-3.0,-3.5,0.5
4,San Diego Chargers,12,2,0,.857,396,219,177,12.6,-1.6,11.1,2.6,8.4
5,Dallas Texans,6,8,0,.429,334,343,-9,-0.6,0.1,-0.6,-0.6,0.0
6,Denver Broncos,3,11,0,.214,251,432,-181,-12.9,1.6,-11.3,-5.7,-5.6
7,Oakland Raiders,2,12,0,.143,237,458,-221,-15.8,2.0,-13.8,-6.5,-7.3
