,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Washington Redskins,11,3,0,.786,336,218,118,8.4,-2.1,6.3,2.7,3.7
1,Dallas Cowboys,10,4,0,.714,319,240,79,5.6,0.5,6.1,3.4,2.7
2,New York Giants,8,6,0,.571,331,247,84,6.0,-0.1,5.9,3.5,2.4
3,St. Louis Cardinals,4,9,1,.321,193,303,-110,-7.9,2.2,-5.7,-4.5,-1.2
4,Philadelphia Eagles,2,11,1,.179,145,352,-207,-14.8,0.2,-14.6,-9.2,-5.3
5,Green Bay Packers,10,4,0,.714,304,226,78,5.6,1.5,7.0,2.3,4.7
6,Detroit Lions,8,5,1,.607,339,290,49,3.5,0.9,4.4,4.4,0.0
7,Minnesota Vikings,7,7,0,.500,301,252,49,3.5,2.6,6.1,2.6,3.4
8,Chicago Bears,4,9,1,.321,225,275,-50,-3.6,2.2,-1.3,-2.8,1.5
9,San Francisco 49ers,8,5,1,.607,353,249,104,7.4,-1.0,6.4,4.9,1.5
10,Atlanta Falcons,7,7,0,.500,269,274,-5,-0.4,-1.6,-1.9,-2.3,0.4
11,Los Angeles Rams,6,7,1,.464,291,286,5,0.4,-0.9,-0.5,0.1,-0.6
12,New Orleans Saints,2,11,1,.179,215,361,-146,-10.4,0.2,-10.2,-5.3,-5.0
13,Miami Dolphins,14,0,0,1.000,385,171,214,15.3,-4.3,11.0,4.5,6.5
14,New York Jets,7,7,0,.500,367,324,43,3.1,-2.6,0.5,4.7,-4.2
15,Baltimore Colts,5,9,0,.357,235,252,-17,-1.2,-1.1,-2.3,-5.1,2.8
16,Buffalo Bills,4,9,1,.321,257,377,-120,-8.6,1.4,-7.2,-1.6,-5.6
17,New England Patriots,3,11,0,.214,192,446,-254,-18.1,0.7,-17.4,-6.3,-11.1
18,Pittsburgh Steelers,11,3,0,.786,343,175,168,12.0,-2.0,10.0,3.4,6.6
19,Cleveland Browns,10,4,0,.714,268,249,19,1.4,-1.1,0.3,-1.6,1.9
20,Cincinnati Bengals,8,6,0,.571,299,229,70,5.0,-0.9,4.1,1.2,3.0
21,Houston Oilers,1,13,0,.071,164,380,-216,-15.4,2.4,-13.0,-7.1,-5.9
22,Oakland Raiders,10,3,1,.750,365,248,117,8.4,-0.3,8.0,5.0,3.0
23,Kansas City Chiefs,8,6,0,.571,287,254,33,2.4,0.2,2.6,0.4,2.2
24,Denver Broncos,5,9,0,.357,325,350,-25,-1.8,-0.1,-1.9,2.9,-4.7
25,San Diego Chargers,4,9,1,.321,264,344,-80,-5.7,2.9,-2.8,-0.2,-2.6
