,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Dallas Cowboys,12,4,.750,414,248,166,10.4,-0.3,10.1,5.6,4.5
1,New York Giants,9,7,.563,279,305,-26,-1.6,-0.1,-1.7,-2.7,1.0
2,Arizona Cardinals,8,8,.500,235,267,-32,-2.0,-0.3,-2.3,-5.6,3.3
3,Philadelphia Eagles,7,9,.438,308,308,0,0.0,0.6,0.6,-0.4,1.0
4,Washington Redskins,3,13,.188,320,412,-92,-5.8,-0.3,-6.1,0.3,-6.4
5,Minnesota Vikings,10,6,.625,356,314,42,2.6,0.6,3.2,2.4,0.8
6,Green Bay Packers,9,7,.563,382,287,95,5.9,0.1,6.0,3.8,2.2
7,Detroit Lions,9,7,.563,357,342,15,0.9,1.4,2.4,2.8,-0.4
8,Chicago Bears,9,7,.563,271,307,-36,-2.3,0.3,-1.9,-3.2,1.3
9,Tampa Bay Buccaneers,6,10,.375,251,351,-100,-6.3,0.0,-6.2,-5.4,-0.8
10,San Francisco 49ers,13,3,.813,505,296,209,13.1,-1.4,11.6,9.9,1.7
11,New Orleans Saints,7,9,.438,348,407,-59,-3.7,0.1,-3.6,1.0,-4.6
12,Atlanta Falcons,7,9,.438,317,385,-68,-4.3,0.0,-4.3,-1.2,-3.1
13,Los Angeles Rams,4,12,.250,286,365,-79,-4.9,-0.3,-5.3,-3.2,-2.1
14,Miami Dolphins,10,6,.625,389,327,62,3.9,0.3,4.2,4.5,-0.3
15,New England Patriots,10,6,.625,351,312,39,2.4,0.8,3.2,1.9,1.3
16,Indianapolis Colts,8,8,.500,307,320,-13,-0.8,-0.7,-1.5,-1.3,-0.2
17,Buffalo Bills,7,9,.438,340,356,-16,-1.0,0.8,-0.2,1.5,-1.8
18,New York Jets,6,10,.375,264,320,-56,-3.5,1.3,-2.2,-3.7,1.5
19,Pittsburgh Steelers,12,4,.750,316,234,82,5.1,-0.4,4.7,-0.2,5.0
20,Cleveland Browns,11,5,.688,340,204,136,8.5,-1.2,7.3,1.2,6.1
21,Cincinnati Bengals,3,13,.188,276,406,-130,-8.1,1.2,-6.9,-1.6,-5.4
22,Houston Oilers,2,14,.125,226,352,-126,-7.9,0.6,-7.3,-4.7,-2.6
23,San Diego Chargers,11,5,.688,381,306,75,4.7,-1.1,3.6,2.9,0.7
24,Kansas City Chiefs,9,7,.563,319,298,21,1.3,-0.4,0.9,-1.3,2.1
25,Los Angeles Raiders,9,7,.563,303,327,-24,-1.5,-0.1,-1.6,-1.9,0.3
26,Denver Broncos,7,9,.438,347,396,-49,-3.1,-0.3,-3.3,1.3,-4.6
27,Seattle Seahawks,6,10,.375,287,323,-36,-2.3,-1.2,-3.4,-2.8,-0.6
