,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Houston Oilers,11,3,0,.786,387,270,117,8.4,-1.0,7.3,4.1,3.3
1,Boston Patriots,9,4,1,.692,346,295,51,3.6,-0.5,3.2,1.3,1.9
2,Buffalo Bills,7,6,1,.538,309,272,37,2.6,-0.3,2.3,-1.6,3.9
3,New York Titans,5,9,0,.357,278,423,-145,-10.4,1.3,-9.1,-2.3,-6.8
4,Dallas Texans,11,3,0,.786,389,233,156,11.1,-1.4,9.8,3.8,5.9
5,Denver Broncos,7,7,0,.500,353,334,19,1.4,-0.2,1.2,2.3,-1.1
6,San Diego Chargers,4,10,0,.286,314,392,-78,-5.6,0.7,-4.9,0.0,-4.9
7,Oakland Raiders,1,13,0,.071,213,370,-157,-11.2,1.4,-9.8,-7.6,-2.2
