,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Washington Redskins,10,6,.625,443,377,66,4.1,-1.3,2.9,6.8,-3.9
1,Dallas Cowboys,8,8,.500,352,276,76,4.8,-1.6,3.1,-0.3,3.4
2,New York Giants,7,9,.438,299,358,-59,-3.7,0.7,-3.0,-1.8,-1.2
3,Arizona Cardinals,6,10,.375,245,382,-137,-8.6,-0.2,-8.8,-5.5,-3.2
4,Philadelphia Eagles,5,11,.313,272,357,-85,-5.3,1.1,-4.2,-3.3,-0.9
5,Tampa Bay Buccaneers,11,5,.688,270,235,35,2.2,0.4,2.6,-4.1,6.7
6,Minnesota Vikings,10,6,.625,399,335,64,4.0,0.4,4.4,5.2,-0.8
7,Detroit Lions,8,8,.500,322,323,-1,-0.1,2.0,1.9,0.1,1.8
8,Green Bay Packers,8,8,.500,357,341,16,1.0,0.6,1.6,2.5,-0.9
9,Chicago Bears,6,10,.375,272,341,-69,-4.3,2.3,-2.0,-3.0,1.0
10,St. Louis Rams,13,3,.813,526,242,284,17.8,-5.9,11.9,8.7,3.2
11,Carolina Panthers,8,8,.500,421,381,40,2.5,-3.6,-1.1,3.0,-4.0
12,Atlanta Falcons,5,11,.313,285,380,-95,-5.9,-1.1,-7.1,-4.0,-3.0
13,San Francisco 49ers,4,12,.250,295,453,-158,-9.9,-1.5,-11.3,-4.5,-6.8
14,New Orleans Saints,3,13,.188,260,434,-174,-10.9,-1.3,-12.1,-5.3,-6.9
15,Indianapolis Colts,13,3,.813,423,333,90,5.6,0.5,6.1,6.6,-0.5
16,Buffalo Bills,11,5,.688,320,229,91,5.7,1.5,7.1,-0.2,7.4
17,Miami Dolphins,9,7,.563,326,336,-10,-0.6,2.5,1.9,1.2,0.7
18,New York Jets,8,8,.500,308,309,-1,-0.1,3.1,3.1,0.2,2.9
19,New England Patriots,8,8,.500,299,284,15,0.9,1.3,2.2,-1.0,3.2
20,Jacksonville Jaguars,14,2,.875,396,217,179,11.2,-4.8,6.4,1.3,5.1
21,Tennessee Titans,13,3,.813,392,324,68,4.3,-3.2,1.0,2.0,-1.0
22,Baltimore Ravens,8,8,.500,324,277,47,2.9,-2.0,0.9,-1.6,2.5
23,Pittsburgh Steelers,6,10,.375,317,320,-3,-0.2,-2.2,-2.4,-2.2,-0.2
24,Cincinnati Bengals,4,12,.250,283,460,-177,-11.1,-0.5,-11.5,-3.3,-8.2
25,Cleveland Browns,2,14,.125,217,437,-220,-13.8,-0.3,-14.1,-7.6,-6.5
26,Seattle Seahawks,9,7,.563,338,298,40,2.5,2.0,4.5,1.9,2.6
27,Kansas City Chiefs,9,7,.563,390,322,68,4.3,2.6,6.8,5.5,1.3
28,San Diego Chargers,8,8,.500,269,316,-47,-2.9,2.0,-1.0,-3.9,2.9
29,Oakland Raiders,8,8,.500,390,329,61,3.8,2.9,6.8,5.7,1.0
30,Denver Broncos,6,10,.375,314,318,-4,-0.3,3.6,3.4,1.0,2.4
