,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,New York Giants,12,4,0,.750,348,252,96,6.0,0.4,6.4,1.9,4.6
1,Philadelphia Eagles,11,5,0,.688,342,274,68,4.3,0.8,5.1,1.9,3.2
2,Washington Redskins,10,6,0,.625,386,308,78,4.9,-0.9,4.0,3.8,0.2
3,Phoenix Cardinals,5,11,0,.313,258,377,-119,-7.4,0.3,-7.1,-4.0,-3.1
4,Dallas Cowboys,1,15,0,.063,204,393,-189,-11.8,1.4,-10.4,-7.6,-2.8
5,Minnesota Vikings,10,6,0,.625,351,275,76,4.8,-0.4,4.3,0.2,4.1
6,Green Bay Packers,10,6,0,.625,362,356,6,0.4,-1.3,-1.0,1.0,-2.0
7,Detroit Lions,7,9,0,.438,312,364,-52,-3.3,-0.2,-3.5,-1.7,-1.8
8,Chicago Bears,6,10,0,.375,358,377,-19,-1.2,1.2,0.0,1.8,-1.8
9,Tampa Bay Buccaneers,5,11,0,.313,320,419,-99,-6.2,1.1,-5.1,-0.4,-4.7
10,San Francisco 49ers,14,2,0,.875,442,253,189,11.8,-1.1,10.7,5.8,4.9
11,Los Angeles Rams,11,5,0,.688,426,344,82,5.1,-0.5,4.6,5.7,-1.1
12,New Orleans Saints,9,7,0,.563,386,301,85,5.3,-0.7,4.6,2.3,2.2
13,Atlanta Falcons,3,13,0,.188,279,437,-158,-9.9,0.8,-9.1,-3.2,-5.9
14,Buffalo Bills,9,7,0,.563,409,317,92,5.8,-1.4,4.3,3.8,0.5
15,Indianapolis Colts,8,8,0,.500,298,301,-3,-0.2,-0.3,-0.5,-2.7,2.2
16,Miami Dolphins,8,8,0,.500,331,379,-48,-3.0,-1.8,-4.8,-0.6,-4.2
17,New England Patriots,5,11,0,.313,297,391,-94,-5.9,-1.2,-7.0,-3.0,-4.0
18,New York Jets,4,12,0,.250,253,411,-158,-9.9,-0.2,-10.1,-4.9,-5.2
19,Cleveland Browns,9,6,1,.594,334,254,80,5.0,-0.6,4.4,-0.2,4.6
20,Houston Oilers,9,7,0,.563,365,412,-47,-2.9,0.4,-2.5,2.8,-5.3
21,Pittsburgh Steelers,9,7,0,.563,265,326,-61,-3.8,0.1,-3.7,-4.3,0.6
22,Cincinnati Bengals,8,8,0,.500,404,285,119,7.4,-0.5,6.9,4.6,2.4
23,Denver Broncos,11,5,0,.688,362,226,136,8.5,0.8,9.3,3.7,5.7
24,Kansas City Chiefs,8,7,1,.531,318,286,32,2.0,0.0,2.0,-0.1,2.1
25,Los Angeles Raiders,8,8,0,.500,315,297,18,1.1,0.7,1.8,0.0,1.9
26,Seattle Seahawks,7,9,0,.438,241,327,-86,-5.4,2.6,-2.8,-3.6,0.8
27,San Diego Chargers,6,10,0,.375,266,290,-24,-1.5,0.8,-0.7,-2.9,2.1
