,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Buffalo Bills,7,7,0,.500,360,358,2,0.1,0.0,0.1,3.4,-3.2
1,Baltimore Colts,7,7,0,.500,333,327,6,0.4,-0.1,0.4,1.1,-0.7
2,New York Yankees,6,8,0,.429,265,301,-36,-2.6,0.3,-2.3,-4.2,1.9
3,Brooklyn Dodgers,2,12,0,.143,253,387,-134,-9.6,1.2,-8.4,-4.1,-4.2
4,Cleveland Browns,14,0,0,1.000,389,190,199,14.2,-1.8,12.4,3.7,8.7
5,San Francisco 49ers,12,2,0,.857,495,248,247,17.6,-2.2,15.4,12.1,3.4
6,Los Angeles Dons,7,7,0,.500,258,305,-47,-3.4,0.4,-2.9,-4.6,1.7
7,Chicago Rockets,1,13,0,.071,202,439,-237,-16.9,2.1,-14.8,-7.3,-7.5
