,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Buffalo Bills,10,3,1,.769,313,226,87,6.2,-0.8,5.4,0.1,5.3
1,New York Jets,5,8,1,.385,285,303,-18,-1.3,0.2,-1.1,-1.1,0.0
2,Boston Patriots,4,8,2,.333,244,302,-58,-4.1,0.5,-3.6,-4.1,0.5
3,Houston Oilers,4,10,0,.286,298,429,-131,-9.4,1.2,-8.2,1.2,-9.4
4,San Diego Chargers,9,2,3,.818,340,227,113,8.1,-1.0,7.1,2.1,4.9
5,Oakland Raiders,8,5,1,.615,298,239,59,4.2,-0.5,3.7,-0.8,4.5
6,Kansas City Chiefs,7,5,2,.583,322,285,37,2.6,-0.3,2.3,1.4,0.9
7,Denver Broncos,4,10,0,.286,303,392,-89,-6.4,0.8,-5.6,1.1,-6.7
