,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Canton Bulldogs,10.0,0.0,2.0,1.0,184.0,15.0,169.0,14.1,-3.4,10.7,3.5,7.2
1,Chicago Bears,9.0,3.0,0.0,0.75,123.0,44.0,79.0,6.6,-0.4,6.1,0.0,6.2
2,Chicago Cardinals,8.0,3.0,0.0,0.727,96.0,50.0,46.0,4.2,-5.0,-0.9,-1.7,0.9
3,Toledo Maroons,5.0,2.0,2.0,0.714,94.0,59.0,35.0,3.9,-8.9,-5.0,-3.5,-1.5
4,Rock Island Independents,4.0,2.0,1.0,0.667,154.0,27.0,127.0,18.1,-5.6,12.5,11.8,0.7
5,Racine Legion,6.0,4.0,1.0,0.6,122.0,56.0,66.0,6.0,-10.7,-4.7,-2.6,-2.1
6,Dayton Triangles,4.0,3.0,1.0,0.571,80.0,62.0,18.0,2.3,1.2,3.4,1.9,1.5
7,Green Bay Packers,4.0,3.0,3.0,0.571,70.0,54.0,16.0,1.6,-0.5,1.1,-3.1,4.2
8,Akron Pros,3.0,5.0,2.0,0.375,146.0,95.0,51.0,5.1,2.3,7.4,7.7,-0.3
9,Milwaukee Badgers,2.0,4.0,3.0,0.333,51.0,71.0,-20.0,-2.2,0.4,-1.8,-2.2,0.4
10,Oorang Indians,3.0,6.0,0.0,0.333,69.0,190.0,-121.0,-13.4,9.1,-4.3,3.3,-7.7
11,Louisville Brecks,1.0,3.0,0.0,0.25,13.0,140.0,-127.0,-31.8,-0.8,-32.6,-5.9,-26.7
12,Minneapolis Marines,1.0,3.0,0.0,0.25,19.0,40.0,-21.0,-5.3,5.0,-0.2,-2.1,1.8
13,Hammond Pros,0.0,5.0,1.0,0.0,0.0,69.0,-69.0,-11.5,11.4,-0.1,-3.2,3.0
14,Evansville Crimson Giants,0.0,3.0,0.0,0.0,6.0,88.0,-82.0,-27.3,2.1,-25.3,-11.1,-14.2
15,Rochester Jeffersons,0.0,4.0,1.0,0.0,13.0,76.0,-63.0,-12.6,11.8,-0.8,-1.2,0.4
16,Columbus Panhandles,0.0,8.0,0.0,0.0,24.0,174.0,-150.0,-18.8,7.3,-11.5,-3.2,-8.3
