,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Frankford Yellow Jackets,14.0,1.0,2.0,0.933,236.0,49.0,187.0,11.0,-3.5,7.5,4.8,2.7
1,Chicago Bears,12.0,1.0,3.0,0.923,216.0,63.0,153.0,9.6,-1.4,8.1,5.4,2.8
2,Pottsville Maroons,10.0,2.0,2.0,0.833,155.0,29.0,126.0,9.0,-4.5,4.5,0.9,3.5
3,Kansas City Cowboys,8.0,3.0,0.0,0.727,76.0,53.0,23.0,2.1,3.4,5.5,1.2,4.3
4,Green Bay Packers,7.0,3.0,3.0,0.7,151.0,61.0,90.0,6.9,-0.3,6.6,3.4,3.2
5,New York Giants,8.0,4.0,1.0,0.667,147.0,51.0,96.0,7.4,-0.9,6.5,3.0,3.5
6,Los Angeles Buccaneers,6.0,3.0,1.0,0.667,67.0,57.0,10.0,1.0,4.9,5.9,2.2,3.6
7,Duluth Eskimos,6.0,5.0,3.0,0.545,113.0,81.0,32.0,2.3,4.1,6.4,2.7,3.6
8,Buffalo Rangers,4.0,4.0,2.0,0.5,53.0,62.0,-9.0,-0.9,-0.9,-1.8,-2.8,0.9
9,Chicago Cardinals,5.0,6.0,1.0,0.455,74.0,98.0,-24.0,-2.0,3.0,1.0,-0.4,1.4
10,Providence Steam Roller,5.0,7.0,1.0,0.417,89.0,103.0,-14.0,-1.1,0.7,-0.3,-0.5,0.1
11,Detroit Panthers,4.0,6.0,2.0,0.4,107.0,60.0,47.0,3.9,-2.6,1.3,-0.4,1.7
12,Hartford Blues,3.0,7.0,0.0,0.3,57.0,99.0,-42.0,-4.2,-3.6,-7.8,-4.1,-3.7
13,Brooklyn Lions,3.0,8.0,0.0,0.273,60.0,150.0,-90.0,-8.2,-1.4,-9.6,-2.4,-7.2
14,Milwaukee Badgers,2.0,7.0,0.0,0.222,41.0,66.0,-25.0,-2.8,1.1,-1.7,-2.8,1.1
15,Dayton Triangles,1.0,4.0,1.0,0.2,15.0,82.0,-67.0,-11.2,3.8,-7.4,-2.3,-5.0
16,Akron Indians,1.0,4.0,3.0,0.2,23.0,89.0,-66.0,-8.3,0.9,-7.3,-3.9,-3.4
17,Racine Tornadoes,1.0,4.0,0.0,0.2,8.0,92.0,-84.0,-16.8,-1.5,-18.3,-6.0,-12.3
18,Columbus Tigers,1.0,6.0,0.0,0.143,26.0,93.0,-67.0,-9.6,2.3,-7.3,-2.2,-5.1
19,Canton Bulldogs,1.0,9.0,3.0,0.1,46.0,161.0,-115.0,-8.8,-0.6,-9.5,-5.0,-4.4
20,Hammond Pros,0.0,4.0,0.0,0.0,3.0,56.0,-53.0,-13.3,-1.1,-14.3,-7.7,-6.6
21,Louisville Colonels,0.0,4.0,0.0,0.0,0.0,108.0,-108.0,-27.0,6.9,-20.1,-4.2,-15.9
