,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Houston Oilers,10,4,0,.714,379,285,94,6.7,-0.8,5.9,2.4,3.5
1,New York Titans,7,7,0,.500,382,399,-17,-1.2,0.2,-1.1,3.8,-4.9
2,Buffalo Bills,5,8,1,.385,296,303,-7,-0.5,0.1,-0.4,-3.4,3.0
3,Boston Patriots,5,9,0,.357,286,349,-63,-4.5,0.6,-3.9,-3.7,-0.2
4,Los Angeles Chargers,10,4,0,.714,373,336,37,2.6,-0.3,2.3,2.5,-0.2
5,Dallas Texans,8,6,0,.571,362,253,109,7.8,-1.0,6.8,0.8,6.0
6,Oakland Raiders,6,8,0,.429,319,388,-69,-4.9,0.6,-4.3,-0.9,-3.4
7,Denver Broncos,4,9,1,.308,309,393,-84,-6.0,0.8,-5.3,-1.6,-3.7
