,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Washington Redskins,6,3,1,.667,229,137,92,9.2,-2.6,6.6,2.2,4.4
1,New York Giants,6,3,1,.667,197,170,27,2.7,-1.6,1.2,-0.4,1.6
2,Phi/Pit Eagles/Steelers,5,4,1,.556,225,230,-5,-0.5,-1.0,-1.5,3.7,-5.2
3,Brooklyn Dodgers,2,8,0,.200,65,234,-169,-16.9,2.1,-14.8,-12.7,-2.1
4,Chicago Bears,8,1,1,.889,303,157,146,14.6,-1.7,12.9,10.5,2.4
5,Green Bay Packers,7,2,1,.778,264,172,92,9.2,-0.4,8.8,7.0,1.8
6,Detroit Lions,3,6,1,.333,178,218,-40,-4.0,1.4,-2.6,-1.2,-1.4
7,Chicago Cardinals,0,10,0,.000,95,238,-143,-14.3,3.9,-10.4,-9.1,-1.4
