,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,New York Yankees,10,3,1,.769,270,192,78,5.6,-0.7,4.9,-1.3,6.2
1,Buffalo Bisons,3,10,1,.231,249,370,-121,-8.6,1.1,-7.6,-1.0,-6.6
2,Brooklyn Dodgers,3,10,1,.231,226,339,-113,-8.1,1.0,-7.1,-3.0,-4.1
3,Miami Seahawks,3,11,0,.214,167,378,-211,-15.1,1.9,-13.2,-6.9,-6.3
4,Cleveland Browns,12,2,0,.857,423,137,286,20.4,-2.6,17.9,9.3,8.6
5,San Francisco 49ers,9,5,0,.643,307,189,118,8.4,-1.1,7.4,1.3,6.0
6,Los Angeles Dons,7,5,2,.583,305,290,15,1.1,-0.1,0.9,2.2,-1.3
7,Chicago Rockets,5,6,3,.455,263,315,-52,-3.7,0.5,-3.3,-0.6,-2.7
