,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Philadelphia Eagles,9,2,1,.818,376,156,220,18.3,-2.9,15.5,5.9,9.6
1,Washington Redskins,7,5,0,.583,291,287,4,0.3,-2.0,-1.6,0.5,-2.2
2,New York Giants,4,8,0,.333,297,388,-91,-7.6,1.1,-6.5,3.4,-9.9
3,Pittsburgh Steelers,4,8,0,.333,200,243,-43,-3.6,-1.7,-5.3,-8.6,3.3
4,Boston Yanks,3,9,0,.250,174,372,-198,-16.5,0.9,-15.6,-8.2,-7.4
5,Chicago Cardinals,11,1,0,.917,395,226,169,14.1,-0.9,13.2,9.9,3.3
6,Chicago Bears,10,2,0,.833,375,151,224,18.7,-1.3,17.3,6.5,10.9
7,Los Angeles Rams,6,5,1,.545,327,269,58,4.8,1.4,6.2,5.0,1.3
8,Green Bay Packers,3,9,0,.250,154,290,-136,-11.3,1.5,-9.9,-10.8,1.0
9,Detroit Lions,2,10,0,.167,200,407,-207,-17.3,3.9,-13.4,-3.6,-9.8
