,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Buffalo Bills,12,2,0,.857,400,242,158,11.3,-1.4,9.9,4.6,5.3
1,Boston Patriots,10,3,1,.769,365,297,68,4.9,-0.6,4.3,2.6,1.7
2,New York Jets,5,8,1,.385,278,315,-37,-2.6,0.3,-2.3,-3.6,1.3
3,Houston Oilers,4,10,0,.286,310,355,-45,-3.2,0.4,-2.8,-0.8,-2.0
4,San Diego Chargers,8,5,1,.615,341,300,41,2.9,-0.4,2.6,0.9,1.7
5,Kansas City Chiefs,7,7,0,.500,366,306,60,4.3,-0.5,3.8,2.8,1.0
6,Oakland Raiders,5,7,2,.417,303,350,-47,-3.4,0.4,-2.9,-1.4,-1.6
7,Denver Broncos,2,11,1,.154,240,438,-198,-14.1,1.8,-12.4,-5.1,-7.3
