,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Dallas Cowboys,12,4,.750,435,291,144,9.0,0.7,9.7,6.2,3.5
1,Philadelphia Eagles,10,6,.625,318,338,-20,-1.3,-0.5,-1.7,-1.9,0.2
2,Washington Redskins,6,10,.375,326,359,-33,-2.1,0.1,-1.9,-0.8,-1.2
3,New York Giants,5,11,.313,290,340,-50,-3.1,1.6,-1.5,-2.6,1.1
4,Arizona Cardinals,4,12,.250,275,422,-147,-9.2,1.7,-7.5,-3.5,-4.0
5,Green Bay Packers,11,5,.688,404,314,90,5.6,0.4,6.0,3.5,2.5
6,Detroit Lions,10,6,.625,436,336,100,6.3,0.6,6.9,5.9,1.0
7,Chicago Bears,9,7,.563,392,360,32,2.0,0.3,2.3,3.1,-0.8
8,Minnesota Vikings,8,8,.500,412,385,27,1.7,2.0,3.7,5.1,-1.4
9,Tampa Bay Buccaneers,7,9,.438,238,335,-97,-6.1,1.1,-5.0,-6.9,1.9
10,San Francisco 49ers,11,5,.688,457,258,199,12.4,-0.7,11.8,6.5,5.3
11,Atlanta Falcons,9,7,.563,362,349,13,0.8,-0.7,0.1,0.9,-0.9
12,St. Louis Rams,7,9,.438,309,418,-109,-6.8,0.4,-6.4,-1.8,-4.6
13,Carolina Panthers,7,9,.438,289,325,-36,-2.3,-1.5,-3.8,-4.1,0.3
14,New Orleans Saints,7,9,.438,319,348,-29,-1.8,-0.3,-2.2,-1.7,-0.4
15,Buffalo Bills,10,6,.625,350,335,15,0.9,-1.8,-0.9,-0.5,-0.4
16,Indianapolis Colts,9,7,.563,331,316,15,0.9,-2.3,-1.3,-1.8,0.4
17,Miami Dolphins,9,7,.563,398,332,66,4.1,-1.4,2.7,3.1,-0.4
18,New England Patriots,6,10,.375,294,377,-83,-5.2,-0.2,-5.4,-2.8,-2.6
19,New York Jets,3,13,.188,233,384,-151,-9.4,-1.7,-11.2,-7.9,-3.3
20,Pittsburgh Steelers,11,5,.688,407,327,80,5.0,-0.4,4.6,3.4,1.2
21,Cincinnati Bengals,7,9,.438,349,374,-25,-1.6,-0.2,-1.7,0.1,-1.9
22,Houston Oilers,7,9,.438,348,324,24,1.5,-0.7,0.8,-0.1,0.9
23,Cleveland Browns,5,11,.313,289,356,-67,-4.2,0.4,-3.8,-3.2,-0.6
24,Jacksonville Jaguars,4,12,.250,275,404,-129,-8.1,0.0,-8.1,-4.4,-3.7
25,Kansas City Chiefs,13,3,.813,358,241,117,7.3,0.3,7.6,0.8,6.9
26,San Diego Chargers,9,7,.563,321,323,-2,-0.1,1.6,1.5,-0.6,2.1
27,Seattle Seahawks,8,8,.500,363,366,-3,-0.2,-0.4,-0.6,1.6,-2.2
28,Denver Broncos,8,8,.500,388,345,43,2.7,0.4,3.1,3.3,-0.2
29,Oakland Raiders,8,8,.500,348,332,16,1.0,1.1,2.1,1.1,1.0
