,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Boston Redskins,7,5,0,.583,149,110,39,3.3,-3.0,0.3,-1.0,1.3
1,Pittsburgh Pirates,6,6,0,.500,98,187,-89,-7.4,0.1,-7.4,-3.5,-3.9
2,New York Giants,5,6,1,.455,115,163,-48,-4.0,-0.7,-4.7,-2.6,-2.1
3,Brooklyn Dodgers,3,8,1,.273,92,161,-69,-5.8,-1.8,-7.5,-5.2,-2.4
4,Philadelphia Eagles,1,11,0,.083,51,206,-155,-12.9,-0.9,-13.8,-7.7,-6.1
5,Green Bay Packers,10,1,1,.909,248,118,130,10.8,1.7,12.6,10.4,2.1
6,Chicago Bears,9,3,0,.750,222,94,128,10.7,0.4,11.0,6.6,4.4
7,Detroit Lions,8,4,0,.667,235,102,133,11.1,-0.1,11.0,7.8,3.2
8,Chicago Cardinals,3,8,1,.273,74,143,-69,-5.8,4.3,-1.4,-4.9,3.5
