,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Philadelphia Eagles,11,1,0,.917,364,134,230,19.2,-2.1,17.1,6.1,11.0
1,Pittsburgh Steelers,6,5,1,.545,224,214,10,0.8,-1.0,-0.1,-4.5,4.3
2,New York Giants,6,6,0,.500,287,298,-11,-0.9,-1.0,-2.0,1.7,-3.7
3,Washington Redskins,4,7,1,.364,268,339,-71,-5.9,0.4,-5.5,0.5,-6.1
4,New York Bulldogs,1,10,1,.091,153,368,-215,-17.9,1.3,-16.6,-9.0,-7.5
5,Los Angeles Rams,8,2,2,.800,360,239,121,10.1,-0.8,9.3,7.7,1.6
6,Chicago Bears,9,3,0,.750,332,218,114,9.5,0.3,9.8,5.2,4.6
7,Chicago Cardinals,6,5,1,.545,360,301,59,4.9,-0.2,4.7,7.8,-3.1
8,Detroit Lions,4,8,0,.333,237,259,-22,-1.8,1.2,-0.7,-2.3,1.7
9,Green Bay Packers,2,10,0,.167,114,329,-215,-17.9,1.8,-16.1,-13.3,-2.8
