,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,New York Giants,11,3,0,.786,448,280,168,12.0,-2.1,10.0,8.9,1.1
1,Cleveland Browns,10,4,0,.714,343,262,81,5.8,-1.0,4.8,1.2,3.5
2,St. Louis Cardinals,9,5,0,.643,341,283,58,4.1,-0.1,4.0,1.2,2.8
3,Pittsburgh Steelers,7,4,3,.636,321,295,26,1.9,1.1,2.9,1.2,1.7
4,Dallas Cowboys,4,10,0,.286,305,378,-73,-5.2,0.2,-5.0,-0.5,-4.5
5,Washington Redskins,3,11,0,.214,279,398,-119,-8.5,0.7,-7.8,-2.1,-5.8
6,Philadelphia Eagles,2,10,2,.167,242,381,-139,-9.9,1.6,-8.4,-4.6,-3.8
7,Chicago Bears,11,1,2,.917,301,144,157,11.2,-1.8,9.4,-1.5,10.9
8,Green Bay Packers,11,2,1,.846,369,206,163,11.6,-1.1,10.6,4.5,6.0
9,Baltimore Colts,8,6,0,.571,316,285,31,2.2,-0.2,2.0,0.8,1.2
10,Detroit Lions,5,8,1,.385,326,265,61,4.4,-0.6,3.7,1.6,2.1
11,Minnesota Vikings,5,8,1,.385,309,390,-81,-5.8,0.4,-5.4,1.7,-7.1
12,Los Angeles Rams,5,9,0,.357,210,350,-140,-10.0,1.0,-9.0,-6.0,-3.0
13,San Francisco 49ers,2,12,0,.143,198,391,-193,-13.8,2.0,-11.8,-6.6,-5.2
