,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Cleveland Browns,11,1,0,.917,331,152,179,14.9,-0.3,14.6,6.9,7.8
1,New York Giants,9,2,1,.818,254,161,93,7.8,-2.0,5.7,-1.6,7.3
2,Washington Redskins,5,7,0,.417,183,296,-113,-9.4,1.6,-7.8,-5.1,-2.7
3,Pittsburgh Steelers,4,7,1,.364,183,235,-52,-4.3,0.2,-4.1,-5.9,1.7
4,Philadelphia Eagles,4,8,0,.333,234,264,-30,-2.5,1.0,-1.5,-0.4,-1.2
5,Chicago Cardinals,3,9,0,.250,210,287,-77,-6.4,2.5,-3.9,-1.9,-1.9
6,Los Angeles Rams,8,4,0,.667,392,261,131,10.9,-1.8,9.1,9.2,-0.1
7,Detroit Lions,7,4,1,.636,336,259,77,6.4,-2.1,4.3,3.7,0.5
8,San Francisco 49ers,7,4,1,.636,255,205,50,4.2,0.1,4.3,-2.3,6.6
9,Chicago Bears,7,5,0,.583,286,282,4,0.3,-1.5,-1.2,-0.2,-0.9
10,Green Bay Packers,3,9,0,.250,254,375,-121,-10.1,0.0,-10.1,-1.5,-8.5
11,New York Yanks,1,9,2,.100,241,382,-141,-11.8,2.3,-9.4,-0.9,-8.5
