,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,New York Giants,11,3,0,.786,244,101,143,10.2,-0.2,10.0,7.3,2.6
1,Brooklyn Dodgers,5,4,1,.556,93,54,39,3.9,-3.7,0.2,-2.2,2.4
2,Boston Redskins,5,5,2,.500,103,97,6,0.5,1.4,1.9,-0.8,2.7
3,Philadelphia Eagles,3,5,1,.375,77,158,-81,-9.0,-0.3,-9.3,-1.5,-7.7
4,Pittsburgh Pirates,3,6,2,.333,67,208,-141,-12.8,-0.3,-13.1,-3.1,-10.0
5,Chicago Bears,10,2,1,.833,133,82,51,3.9,3.0,6.9,1.9,5.0
6,Portsmouth Spartans,6,5,0,.545,128,87,41,3.7,1.4,5.1,2.9,2.2
7,Green Bay Packers,5,7,1,.417,170,107,63,4.8,1.7,6.5,3.8,2.7
8,Cincinnati Reds,3,6,1,.333,38,110,-72,-7.2,-4.4,-11.6,-8.7,-2.9
9,Chicago Cardinals,1,9,1,.100,52,101,-49,-4.5,-0.3,-4.7,-4.0,-0.8
