,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Dallas Cowboys,12,2,.857,345,212,133,9.5,-1.7,7.8,7.6,0.2
1,Washington Redskins,9,5,.643,196,189,7,0.5,-1.0,-0.5,-3.1,2.6
2,St. Louis Cardinals,7,7,.500,272,287,-15,-1.1,-0.3,-1.4,2.6,-4.0
3,Philadelphia Eagles,5,9,.357,220,207,13,0.9,-1.5,-0.6,-2.5,1.9
4,New York Giants,5,9,.357,181,265,-84,-6.0,-0.2,-6.2,-4.0,-2.2
5,Minnesota Vikings,9,5,.643,231,227,4,0.3,-1.9,-1.6,-1.0,-0.6
6,Chicago Bears,9,5,.643,255,253,2,0.1,-3.7,-3.6,0.0,-3.6
7,Detroit Lions,6,8,.429,183,252,-69,-4.9,-2.5,-7.4,-4.4,-3.0
8,Green Bay Packers,4,10,.286,134,219,-85,-6.1,-2.6,-8.7,-9.1,0.4
9,Tampa Bay Buccaneers,2,12,.143,103,223,-120,-8.6,-2.2,-10.7,-11.1,0.3
10,Los Angeles Rams,10,4,.714,302,146,156,11.1,-2.7,8.5,3.8,4.6
11,Atlanta Falcons,7,7,.500,179,129,50,3.6,-3.1,0.5,-6.1,6.6
12,San Francisco 49ers,5,9,.357,220,260,-40,-2.9,-0.9,-3.8,-1.1,-2.7
13,New Orleans Saints,3,11,.214,232,336,-104,-7.4,-1.7,-9.2,0.3,-9.4
14,Baltimore Colts,10,4,.714,295,221,74,5.3,-0.3,5.0,3.6,1.5
15,Miami Dolphins,10,4,.714,313,197,116,8.3,-0.5,7.8,4.4,3.5
16,New England Patriots,9,5,.643,278,217,61,4.4,-0.4,4.0,2.5,1.5
17,Buffalo Bills,3,11,.214,160,313,-153,-10.9,3.0,-7.9,-4.3,-3.7
18,New York Jets,3,11,.214,191,300,-109,-7.8,1.9,-5.9,-3.8,-2.0
19,Pittsburgh Steelers,9,5,.643,283,243,40,2.9,3.4,6.2,3.9,2.3
20,Cincinnati Bengals,8,6,.571,238,235,3,0.2,2.0,2.2,0.6,1.6
21,Houston Oilers,8,6,.571,299,230,69,4.9,1.7,6.6,4.4,2.3
22,Cleveland Browns,6,8,.429,269,267,2,0.1,2.4,2.5,2.4,0.1
23,Denver Broncos,12,2,.857,274,148,126,9.0,2.3,11.3,1.9,9.4
24,Oakland Raiders,11,3,.786,351,230,121,8.6,1.7,10.4,8.8,1.6
25,San Diego Chargers,7,7,.500,222,205,17,1.2,2.5,3.7,-1.4,5.2
26,Seattle Seahawks,5,9,.357,282,373,-91,-6.5,2.2,-4.3,4.2,-8.6
27,Kansas City Chiefs,2,12,.143,225,349,-124,-8.9,3.9,-4.9,0.9,-5.8
