,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,St. Louis Cardinals,10,4,0,.714,285,218,67,4.8,1.0,5.8,2.8,3.0
1,Washington Redskins,10,4,0,.714,320,196,124,8.9,1.4,10.2,5.7,4.5
2,Dallas Cowboys,8,6,0,.571,297,235,62,4.4,1.5,5.9,4.0,1.9
3,Philadelphia Eagles,7,7,0,.500,242,217,25,1.8,1.1,2.9,0.0,3.0
4,New York Giants,2,12,0,.143,195,299,-104,-7.4,1.8,-5.6,-3.5,-2.1
5,Minnesota Vikings,10,4,0,.714,310,195,115,8.2,-2.1,6.1,3.6,2.5
6,Detroit Lions,7,7,0,.500,256,270,-14,-1.0,-0.6,-1.6,0.5,-2.1
7,Green Bay Packers,6,8,0,.429,210,206,4,0.3,-1.6,-1.3,-3.2,2.0
8,Chicago Bears,4,10,0,.286,152,279,-127,-9.1,-1.2,-10.3,-7.4,-2.9
9,Los Angeles Rams,10,4,0,.714,263,181,82,5.9,-1.9,3.9,-0.1,4.0
10,San Francisco 49ers,6,8,0,.429,226,236,-10,-0.7,-1.8,-2.6,-2.1,-0.5
11,New Orleans Saints,5,9,0,.357,166,263,-97,-6.9,-0.4,-7.3,-5.7,-1.7
12,Atlanta Falcons,3,11,0,.214,111,271,-160,-11.4,-0.9,-12.3,-9.7,-2.6
13,Miami Dolphins,11,3,0,.786,327,216,111,7.9,-1.8,6.1,3.9,2.3
14,Buffalo Bills,9,5,0,.643,264,244,20,1.4,-0.4,1.0,-0.3,1.4
15,New England Patriots,7,7,0,.500,348,289,59,4.2,0.6,4.8,6.6,-1.8
16,New York Jets,7,7,0,.500,279,300,-21,-1.5,-1.0,-2.5,1.1,-3.7
17,Baltimore Colts,2,12,0,.143,190,329,-139,-9.9,1.3,-8.7,-4.6,-4.1
18,Pittsburgh Steelers,10,3,1,.750,305,189,116,8.3,-1.5,6.8,2.3,4.5
19,Houston Oilers,7,7,0,.500,236,282,-46,-3.3,1.4,-1.9,-1.3,-0.6
20,Cincinnati Bengals,7,7,0,.500,283,259,24,1.7,0.5,2.2,1.9,0.2
21,Cleveland Browns,4,10,0,.286,251,344,-93,-6.6,2.4,-4.2,0.5,-4.7
22,Oakland Raiders,12,2,0,.857,355,228,127,9.1,-0.1,9.0,6.4,2.7
23,Denver Broncos,7,6,1,.536,302,294,8,0.6,0.1,0.6,3.4,-2.8
24,Kansas City Chiefs,5,9,0,.357,233,293,-60,-4.3,1.9,-2.4,-1.3,-1.1
25,San Diego Chargers,5,9,0,.357,212,285,-73,-5.2,0.4,-4.8,-3.5,-1.3
