,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Canton Bulldogs,11.0,0.0,1.0,1.0,246.0,19.0,227.0,18.9,-3.1,15.8,11.6,4.3
1,Chicago Bears,9.0,2.0,1.0,0.818,123.0,35.0,88.0,7.3,-2.2,5.1,0.5,4.6
2,Green Bay Packers,7.0,2.0,1.0,0.778,85.0,34.0,51.0,5.1,-2.1,3.0,1.1,1.8
3,Milwaukee Badgers,7.0,2.0,3.0,0.778,100.0,49.0,51.0,4.3,-0.2,4.0,0.5,3.6
4,Cleveland Indians,3.0,1.0,3.0,0.75,52.0,49.0,3.0,0.4,-2.5,-2.0,-2.3,0.2
5,Chicago Cardinals,8.0,4.0,0.0,0.667,161.0,56.0,105.0,8.8,-7.1,1.7,1.0,0.6
6,Duluth Kelleys,4.0,3.0,0.0,0.571,35.0,33.0,2.0,0.3,1.8,2.1,-1.0,3.1
7,Columbus Tigers,5.0,4.0,1.0,0.556,119.0,35.0,84.0,8.4,-4.2,4.2,1.9,2.2
8,Toledo Maroons,3.0,3.0,2.0,0.5,35.0,66.0,-31.0,-3.9,-0.7,-4.6,-6.4,1.8
9,Racine Legion,4.0,4.0,2.0,0.5,86.0,76.0,10.0,1.0,-0.2,0.8,1.9,-1.1
10,Rock Island Independents,2.0,3.0,3.0,0.4,84.0,62.0,22.0,2.8,-4.7,-1.9,0.3,-2.2
11,Minneapolis Marines,2.0,5.0,2.0,0.286,48.0,81.0,-33.0,-3.7,0.1,-3.5,-3.4,-0.1
12,St. Louis All-Stars,1.0,4.0,2.0,0.2,14.0,39.0,-25.0,-3.6,-0.8,-4.4,-6.3,1.9
13,Hammond Pros,1.0,5.0,1.0,0.167,14.0,59.0,-45.0,-6.4,8.0,1.6,-1.2,2.8
14,Dayton Triangles,1.0,6.0,1.0,0.143,16.0,95.0,-79.0,-9.9,8.3,-1.6,-0.8,-0.8
15,Akron Pros,1.0,6.0,0.0,0.143,25.0,74.0,-49.0,-7.0,9.7,2.7,1.4,1.3
16,Oorang Indians,1.0,10.0,0.0,0.091,50.0,257.0,-207.0,-18.8,6.5,-12.4,0.9,-13.2
17,Louisville Brecks,0.0,3.0,0.0,0.0,0.0,90.0,-90.0,-30.0,4.9,-25.1,-9.0,-16.1
18,Rochester Jeffersons,0.0,4.0,0.0,0.0,6.0,141.0,-135.0,-33.8,-0.3,-34.0,-4.9,-29.1
