,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Dallas Cowboys,10,6,.625,357,333,24,1.5,-1.3,0.2,0.6,-0.3
1,New York Giants,10,6,.625,399,283,116,7.3,-3.3,3.9,2.1,1.8
2,Washington Redskins,10,6,.625,297,312,-15,-0.9,-1.0,-1.9,-3.4,1.5
3,Philadelphia Eagles,7,9,.438,286,310,-24,-1.5,-1.9,-3.4,-4.8,1.3
4,St. Louis Cardinals,5,11,.313,278,414,-136,-8.5,-1.6,-10.1,-4.5,-5.6
5,Chicago Bears,15,1,.938,456,198,258,16.1,-0.2,15.9,6.5,9.4
6,Green Bay Packers,8,8,.500,337,355,-18,-1.1,1.3,0.1,0.1,0.1
7,Minnesota Vikings,7,9,.438,346,359,-13,-0.8,-0.4,-1.2,0.1,-1.3
8,Detroit Lions,7,9,.438,307,366,-59,-3.7,2.0,-1.7,-1.6,0.0
9,Tampa Bay Buccaneers,2,14,.125,294,448,-154,-9.6,2.2,-7.4,-1.9,-5.5
10,Los Angeles Rams,11,5,.688,340,277,63,3.9,-1.3,2.6,-1.0,3.6
11,San Francisco 49ers,10,6,.625,411,263,148,9.3,-0.5,8.8,4.6,4.2
12,New Orleans Saints,5,11,.313,294,401,-107,-6.7,-0.1,-6.8,-3.0,-3.9
13,Atlanta Falcons,4,12,.250,282,452,-170,-10.6,1.7,-8.9,-2.1,-6.8
14,Miami Dolphins,12,4,.750,428,320,108,6.8,0.3,7.0,6.1,0.9
15,New York Jets,11,5,.688,393,264,129,8.1,0.9,9.0,3.8,5.2
16,New England Patriots,11,5,.688,362,290,72,4.5,1.3,5.8,2.0,3.8
17,Indianapolis Colts,5,11,.313,320,386,-66,-4.1,1.5,-2.7,-0.3,-2.4
18,Buffalo Bills,2,14,.125,200,381,-181,-11.3,1.5,-9.8,-9.5,-0.2
19,Cleveland Browns,8,8,.500,287,294,-7,-0.4,-0.8,-1.3,-4.7,3.4
20,Cincinnati Bengals,7,9,.438,441,437,4,0.3,-0.9,-0.7,6.2,-6.9
21,Pittsburgh Steelers,7,9,.438,379,355,24,1.5,-2.0,-0.5,0.6,-1.1
22,Houston Oilers,5,11,.313,284,412,-128,-8.0,-0.9,-8.9,-4.9,-4.0
23,Los Angeles Raiders,12,4,.750,354,308,46,2.9,1.5,4.3,0.7,3.7
24,Denver Broncos,11,5,.688,380,329,51,3.2,0.4,3.6,1.8,1.9
25,Seattle Seahawks,8,8,.500,349,303,46,2.9,1.5,4.3,0.3,4.1
26,San Diego Chargers,8,8,.500,467,435,32,2.0,-0.9,1.1,8.3,-7.2
27,Kansas City Chiefs,6,10,.375,317,360,-43,-2.7,1.1,-1.6,-2.0,0.4
