,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Green Bay Packers,12.0,2.0,0.0,0.857,291.0,87.0,204.0,14.6,-2.0,12.5,10.3,2.3
1,Portsmouth Spartans,11.0,3.0,0.0,0.786,175.0,77.0,98.0,7.0,-2.9,4.1,1.8,2.3
2,Chicago Bears,8.0,5.0,0.0,0.615,145.0,92.0,53.0,4.1,1.6,5.6,1.1,4.5
3,Chicago Cardinals,5.0,4.0,0.0,0.556,120.0,128.0,-8.0,-0.9,3.9,3.0,5.4,-2.3
4,New York Giants,7.0,6.0,1.0,0.538,154.0,100.0,54.0,3.9,0.0,3.8,1.4,2.5
5,Providence Steam Roller,4.0,4.0,3.0,0.5,78.0,127.0,-49.0,-4.5,-2.6,-7.1,-3.7,-3.4
6,Staten Island Stapletons,4.0,6.0,1.0,0.4,79.0,118.0,-39.0,-3.5,-1.9,-5.4,-3.5,-1.9
7,Cleveland Indians,2.0,8.0,0.0,0.2,45.0,137.0,-92.0,-9.2,2.8,-6.4,-4.7,-1.6
8,Brooklyn Dodgers,2.0,12.0,0.0,0.143,64.0,199.0,-135.0,-9.6,1.4,-8.3,-4.7,-3.6
9,Frankford Yellow Jackets,1.0,6.0,1.0,0.143,13.0,99.0,-86.0,-10.8,2.0,-8.8,-7.3,-1.5
